Sample,Date,Actual,Predicted
1,2018-05-14,1.2761,1.2763916
1,2018-05-15,1.2868,1.2758079
1,2018-05-16,1.2828,1.2767519
1,2018-05-17,1.2815,1.27556
1,2018-05-18,1.2892,1.2756991
2,2018-05-15,1.2868,1.2814815
2,2018-05-16,1.2828,1.2812785
2,2018-05-17,1.2815,1.2811772
2,2018-05-18,1.2892,1.2800874
2,2018-05-21,1.2835,1.2806352
3,2018-05-16,1.2828,1.2845135
3,2018-05-17,1.2815,1.284435
3,2018-05-18,1.2892,1.2838882
3,2018-05-21,1.2835,1.2829235
3,2018-05-22,1.2775,1.2835968
4,2018-05-17,1.2815,1.2845136
4,2018-05-18,1.2892,1.284313
4,2018-05-21,1.2835,1.2839327
4,2018-05-22,1.2775,1.2830222
4,2018-05-23,1.2882000000000002,1.2835493
5,2018-05-18,1.2892,1.2871969
5,2018-05-21,1.2835,1.28713
5,2018-05-22,1.2775,1.2865518
5,2018-05-23,1.2882000000000002,1.2856728
5,2018-05-24,1.2907,1.2861989
6,2018-05-21,1.2835,1.2863449
6,2018-05-22,1.2775,1.2862402
6,2018-05-23,1.2882000000000002,1.2859218
6,2018-05-24,1.2907,1.285024
6,2018-05-25,1.2972,1.2854748
7,2018-05-22,1.2775,1.2816777
7,2018-05-23,1.2882000000000002,1.2813711
7,2018-05-24,1.2907,1.2817435
7,2018-05-25,1.2972,1.2807443
7,2018-05-29,1.3027,1.280993
8,2018-05-23,1.2882000000000002,1.2836146
8,2018-05-24,1.2907,1.2835286
8,2018-05-25,1.2972,1.2835248
8,2018-05-29,1.3027,1.2824744
8,2018-05-30,1.2842,1.282929
9,2018-05-24,1.2907,1.2880641
9,2018-05-25,1.2972,1.2882075
9,2018-05-29,1.3027,1.2876108
9,2018-05-30,1.2842,1.2866048
9,2018-05-31,1.297,1.2872769
10,2018-05-25,1.2972,1.2943715
10,2018-05-29,1.3027,1.2947241
10,2018-05-30,1.2842,1.293522
10,2018-05-31,1.297,1.2926047
10,2018-06-01,1.2948,1.2934343
11,2018-05-29,1.3027,1.3005589
11,2018-05-30,1.2842,1.3010865
11,2018-05-31,1.297,1.2995218
11,2018-06-01,1.2948,1.2986641
11,2018-06-04,1.2922,1.2995193
12,2018-05-30,1.2842,1.2937818
12,2018-05-31,1.297,1.2937398
12,2018-06-01,1.2948,1.2935923
12,2018-06-04,1.2922,1.2926618
12,2018-06-05,1.3008,1.2929078
13,2018-05-31,1.297,1.2927444
13,2018-06-01,1.2948,1.292668
13,2018-06-04,1.2922,1.2927927
13,2018-06-05,1.3008,1.2917211
13,2018-06-06,1.2907,1.2918843
14,2018-06-01,1.2948,1.2931864
14,2018-06-04,1.2922,1.2931796
14,2018-06-05,1.3008,1.2931657
14,2018-06-06,1.2907,1.2920436
14,2018-06-07,1.2988,1.2923422
15,2018-06-04,1.2922,1.2927467
15,2018-06-05,1.3008,1.2927033
15,2018-06-06,1.2907,1.2927189
15,2018-06-07,1.2988,1.291556
15,2018-06-08,1.2956,1.2918804
16,2018-06-05,1.3008,1.2968439
16,2018-06-06,1.2907,1.2969489
16,2018-06-07,1.2988,1.2964165
16,2018-06-08,1.2956,1.2952963
16,2018-06-11,1.298,1.2957999
17,2018-06-06,1.2907,1.2950857
17,2018-06-07,1.2988,1.294928
17,2018-06-08,1.2956,1.2947565
17,2018-06-11,1.298,1.2936815
17,2018-06-12,1.2987,1.2939795
18,2018-06-07,1.2988,1.296501
18,2018-06-08,1.2956,1.2963238
18,2018-06-11,1.298,1.2960353
18,2018-06-12,1.2987,1.2949777
18,2018-06-13,1.2963,1.2952551
19,2018-06-08,1.2956,1.2965214
19,2018-06-11,1.298,1.2963775
19,2018-06-12,1.2987,1.2961224
19,2018-06-13,1.2963,1.2950613
19,2018-06-14,1.307,1.295312
20,2018-06-11,1.298,1.2973588
20,2018-06-12,1.2987,1.2972683
20,2018-06-13,1.2963,1.2969477
20,2018-06-14,1.307,1.2958624
20,2018-06-15,1.3167,1.2961584
21,2018-06-12,1.2987,1.298502
21,2018-06-13,1.2963,1.2984265
21,2018-06-14,1.307,1.2980212
21,2018-06-15,1.3167,1.296952
21,2018-06-18,1.3229,1.297262
22,2018-06-13,1.2963,1.2977664
22,2018-06-14,1.307,1.2976395
22,2018-06-15,1.3167,1.2973994
22,2018-06-18,1.3229,1.2963048
22,2018-06-19,1.3263,1.2965621
23,2018-06-14,1.307,1.3023746
23,2018-06-15,1.3167,1.3024637
23,2018-06-18,1.3229,1.3016818
23,2018-06-19,1.3263,1.3006042
23,2018-06-20,1.3291,1.3010403
24,2018-06-15,1.3167,1.3113449
24,2018-06-18,1.3229,1.3118435
24,2018-06-19,1.3263,1.3101313
24,2018-06-20,1.3291,1.3091494
24,2018-06-21,1.3319,1.3098366
25,2018-06-18,1.3229,1.3199924
25,2018-06-19,1.3263,1.3207622
25,2018-06-20,1.3291,1.3184955
25,2018-06-21,1.3319,1.3175968
25,2018-06-22,1.3318,1.3183441
26,2018-06-19,1.3263,1.3254639
26,2018-06-20,1.3291,1.326284
26,2018-06-21,1.3319,1.3240882
26,2018-06-22,1.3318,1.3232154
26,2018-06-25,1.3313,1.3237581
27,2018-06-20,1.3291,1.328065
27,2018-06-21,1.3319,1.3288088
27,2018-06-22,1.3318,1.3270291
27,2018-06-25,1.3313,1.3260677
27,2018-06-26,1.3293,1.3263594
28,2018-06-21,1.3319,1.3296999
28,2018-06-22,1.3318,1.3303409
28,2018-06-25,1.3313,1.3289537
28,2018-06-26,1.3293,1.3278677
28,2018-06-27,1.33,1.32797
29,2018-06-22,1.3318,1.3300774
29,2018-06-25,1.3313,1.3305928
29,2018-06-26,1.3293,1.3295847
29,2018-06-27,1.33,1.3283595
29,2018-06-28,1.3253,1.3283287
30,2018-06-25,1.3313,1.3297454
30,2018-06-26,1.3293,1.3300365
30,2018-06-27,1.33,1.329357
30,2018-06-28,1.3253,1.3280106
30,2018-06-29,1.314,1.3278717
31,2018-06-26,1.3293,1.3285986
31,2018-06-27,1.33,1.3285576
31,2018-06-28,1.3253,1.3281857
31,2018-06-29,1.314,1.3267839
31,2018-07-02,1.3213,1.3265005
32,2018-06-27,1.33,1.3283243
32,2018-06-28,1.3253,1.3281044
32,2018-06-29,1.314,1.3277858
32,2018-07-02,1.3213,1.3263457
32,2018-07-03,1.315,1.3260126
33,2018-06-28,1.3253,1.3262385
33,2018-06-29,1.314,1.3257831
33,2018-07-02,1.3213,1.325695
33,2018-07-03,1.315,1.324238
33,2018-07-05,1.3121,1.3237938
34,2018-06-29,1.314,1.3189042
34,2018-07-02,1.3213,1.3179609
34,2018-07-03,1.315,1.3186948
34,2018-07-05,1.3121,1.3171701
34,2018-07-06,1.309,1.3164643
35,2018-07-02,1.3213,1.3180093
35,2018-07-03,1.315,1.3171468
35,2018-07-05,1.3121,1.3175726
35,2018-07-06,1.309,1.3160208
35,2018-07-09,1.3111,1.3154866
36,2018-07-03,1.315,1.3166802
36,2018-07-05,1.3121,1.3158098
36,2018-07-06,1.309,1.3160161
36,2018-07-09,1.3111,1.3145288
36,2018-07-10,1.312,1.3141
37,2018-07-05,1.3121,1.3145548
37,2018-07-06,1.309,1.3136427
37,2018-07-09,1.3111,1.3138084
37,2018-07-10,1.312,1.312366
37,2018-07-11,1.3127,1.3119793
38,2018-07-06,1.309,1.3117219
38,2018-07-09,1.3111,1.3107629
