Sample,Date,Actual,Predicted
1,2020-01-16,1.3042,1.3025744
1,2020-01-17,1.3074,1.3020446
1,2020-01-21,1.3068,1.3031733
1,2020-01-22,1.3135,1.3028752
1,2020-01-23,1.3144,1.3009741
2,2020-01-17,1.3074,1.3025451
2,2020-01-21,1.3068,1.3020616
2,2020-01-22,1.3135,1.3030227
2,2020-01-23,1.3144,1.3028529
2,2020-01-24,1.3146,1.3008579
3,2020-01-21,1.3068,1.3057401
3,2020-01-22,1.3135,1.3052168
3,2020-01-23,1.3144,1.3060377
3,2020-01-24,1.3146,1.3059412
3,2020-01-27,1.3176,1.3037298
4,2020-01-22,1.3135,1.3053144
4,2020-01-23,1.3144,1.3046623
4,2020-01-24,1.3146,1.3058274
4,2020-01-27,1.3176,1.3055047
4,2020-01-28,1.3174,1.3035582
5,2020-01-23,1.3144,1.3113579
5,2020-01-24,1.3146,1.3107502
5,2020-01-27,1.3176,1.3115131
5,2020-01-28,1.3174,1.3113836
5,2020-01-29,1.3201,1.3090265
6,2020-01-24,1.3146,1.3122104
6,2020-01-27,1.3176,1.3114355
6,2020-01-28,1.3174,1.3126556
6,2020-01-29,1.3201,1.3121835
6,2020-01-30,1.3216,1.3101883
7,2020-01-27,1.3176,1.312274
7,2020-01-28,1.3174,1.3115926
7,2020-01-29,1.3201,1.3127266
7,2020-01-30,1.3216,1.3122871
7,2020-01-31,1.322,1.3103572
8,2020-01-28,1.3174,1.3149564
8,2020-01-29,1.3201,1.3143699
8,2020-01-30,1.3216,1.3152448
8,2020-01-31,1.322,1.3149345
8,2020-02-03,1.3295,1.3127812
9,2020-01-29,1.3201,1.3148938
9,2020-01-30,1.3216,1.3142858
9,2020-01-31,1.322,1.3153034
9,2020-02-03,1.3295,1.3148903
9,2020-02-04,1.3266,1.3128896
10,2020-01-30,1.3216,1.3171571
10,2020-01-31,1.322,1.3166275
10,2020-02-03,1.3295,1.317414
10,2020-02-04,1.3266,1.3171247
10,2020-02-05,1.3294,1.3149546
11,2020-01-31,1.322,1.3186388
11,2020-02-03,1.3295,1.3180733
11,2020-02-04,1.3266,1.3189301
11,2020-02-05,1.3294,1.3185726
11,2020-02-06,1.3292,1.3164393
12,2020-02-03,1.3295,1.319098
12,2020-02-04,1.3266,1.3185303
12,2020-02-05,1.3294,1.3194294
12,2020-02-06,1.3292,1.319038
12,2020-02-07,1.3304,1.3169717
13,2020-02-04,1.3266,1.3258966
13,2020-02-05,1.3294,1.3253682
13,2020-02-06,1.3292,1.325893
13,2020-02-07,1.3304,1.3256545
13,2020-02-10,1.3323,1.323165
14,2020-02-05,1.3294,1.323469
14,2020-02-06,1.3292,1.3227384
14,2020-02-07,1.3304,1.3239543
14,2020-02-10,1.3323,1.323265
14,2020-02-11,1.3299,1.3214165
15,2020-02-06,1.3292,1.325932
15,2020-02-07,1.3304,1.3254082
15,2020-02-10,1.3323,1.3261266
15,2020-02-11,1.3299,1.3257366
15,2020-02-12,1.3243,1.3235414
16,2020-02-07,1.3304,1.3260665
16,2020-02-10,1.3323,1.325502
16,2020-02-11,1.3299,1.3263917
16,2020-02-12,1.3243,1.3258898
16,2020-02-13,1.3255,1.323786
17,2020-02-10,1.3323,1.3272161
17,2020-02-11,1.3299,1.3266999
17,2020-02-12,1.3243,1.3274748
17,2020-02-13,1.3255,1.327044
17,2020-02-14,1.3251,1.3248541
18,2020-02-11,1.3299,1.3289471
18,2020-02-12,1.3243,1.3284198
18,2020-02-13,1.3255,1.3291848
18,2020-02-14,1.3251,1.328746
18,2020-02-18,1.3256,1.3264971
19,2020-02-12,1.3243,1.326936
19,2020-02-13,1.3255,1.3263712
19,2020-02-14,1.3251,1.3273766
19,2020-02-18,1.3256,1.3268113
19,2020-02-19,1.3232,1.3248006
20,2020-02-13,1.3255,1.3217485
20,2020-02-14,1.3251,1.321281
20,2020-02-18,1.3256,1.322388
20,2020-02-19,1.3232,1.3218286
20,2020-02-20,1.3259000000000003,1.3199887
21,2020-02-14,1.3251,1.3233571
21,2020-02-18,1.3256,1.3230308
21,2020-02-19,1.3232,1.3236622
21,2020-02-20,1.3259000000000003,1.3234411
21,2020-02-21,1.3217,1.3210837
22,2020-02-18,1.3256,1.323194
22,2020-02-19,1.3232,1.3227093
22,2020-02-20,1.3259000000000003,1.3236456
22,2020-02-21,1.3217,1.3232456
22,2020-02-24,1.3282,1.3210057
23,2020-02-19,1.3232,1.3235825
23,2020-02-20,1.3259000000000003,1.3230518
23,2020-02-21,1.3217,1.324046
23,2020-02-24,1.3282,1.3236132
23,2020-02-25,1.3285,1.321384
24,2020-02-20,1.3259000000000003,1.3214016
24,2020-02-21,1.3217,1.3208151
24,2020-02-24,1.3282,1.322046
24,2020-02-25,1.3285,1.3214831
24,2020-02-26,1.3321,1.3194469
25,2020-02-21,1.3217,1.324211
25,2020-02-24,1.3282,1.3236823
25,2020-02-25,1.3285,1.324614
25,2020-02-26,1.3321,1.3242228
25,2020-02-27,1.3356,1.3218501
26,2020-02-24,1.3282,1.3202045
26,2020-02-25,1.3285,1.3195523
26,2020-02-26,1.3321,1.3209996
26,2020-02-27,1.3356,1.3202971
26,2020-02-28,1.3411,1.3183904
27,2020-02-25,1.3285,1.3262285
27,2020-02-26,1.3321,1.3257374
27,2020-02-27,1.3356,1.326469
27,2020-02-28,1.3411,1.3261789
27,2020-03-02,1.3334,1.3236037
28,2020-02-26,1.3321,1.3263153
28,2020-02-27,1.3356,1.3255934
28,2020-02-28,1.3411,1.3268845
28,2020-03-02,1.3334,1.3261954
28,2020-03-03,1.3352,1.3240424
29,2020-02-27,1.3356,1.3293253
29,2020-02-28,1.3411,1.3286765
29,2020-03-02,1.3334,1.3297051
29,2020-03-03,1.3352,1.3291236
29,2020-03-04,1.3425,1.3268317
30,2020-02-28,1.3411,1.3324057
30,2020-03-02,1.3334,1.3317151
30,2020-03-03,1.3352,1.332761
30,2020-03-04,1.3425,1.332093
30,2020-03-05,1.3403,1.3298076
31,2020-03-02,1.3334,1.3372718
31,2020-03-03,1.3352,1.3365804
31,2020-03-04,1.3425,1.3374883
31,2020-03-05,1.3403,1.3368024
31,2020-03-06,1.342,1.3344299
32,2020-03-03,1.3352,1.3301798
32,2020-03-04,1.3425,1.3294284
32,2020-03-05,1.3403,1.3309579
32,2020-03-06,1.342,1.3299191
32,2020-03-09,1.3527,1.3283328
33,2020-03-04,1.3425,1.3318565
33,2020-03-05,1.3403,1.3314962
33,2020-03-06,1.342,1.3321053
33,2020-03-09,1.3527,1.3316909
33,2020-03-10,1.3775,1.3293992
34,2020-03-05,1.3403,1.3388294
34,2020-03-06,1.342,1.3384011
34,2020-03-09,1.3527,1.3388087
34,2020-03-10,1.3775,1.338453
34,2020-03-11,1.3748,1.3357474
35,2020-03-06,1.342,1.3365326
35,2020-03-09,1.3527,1.3358448
35,2020-03-10,1.3775,1.3369873
35,2020-03-11,1.3748,1.3361535
35,2020-03-12,1.3869,1.3341581
36,2020-03-09,1.3527,1.3380009
36,2020-03-10,1.3775,1.3374704
36,2020-03-11,1.3748,1.338235
36,2020-03-12,1.3869,1.3376489
36,2020-03-13,1.3991,1.3354001
37,2020-03-10,1.3775,1.3481165
37,2020-03-11,1.3748,1.347815
37,2020-03-12,1.3869,1.3479614
37,2020-03-13,1.3991,1.3473858
37,2020-03-16,1.3974,1.3446732
38,2020-03-11,1.3748,1.3638955
