Date,Actual,Predicted
2020-08-28,1.3106,1.3217812
2020-08-31,1.3034,1.3223497
2020-09-01,1.3043,1.2928613
2020-09-02,1.3061,1.2942739
2020-09-03,1.3131,1.2945411
2020-09-04,1.3095,1.2948489
2020-09-08,1.3194,1.2946434
2020-09-09,1.3163,1.2941679
2020-09-10,1.3162,1.2933036
2020-09-11,1.3183,1.2932117
2020-09-14,1.3172,1.2932717
2020-09-15,1.3199,1.2925135
2020-09-16,1.3164,1.2925674
2020-09-17,1.3204,1.2934349
2020-09-18,1.3179,1.2922214
2020-09-21,1.3299,1.2935219
2020-09-22,1.3313,1.2946349
2020-09-23,1.3373,1.2956921
2020-09-24,1.337,1.2974597
2020-09-25,1.3409,1.296214
2020-09-28,1.3377,1.2971504
2020-09-29,1.3411,1.2956289
2020-09-30,1.3323,1.2965058
2020-10-01,1.3289,1.2919137
2020-10-02,1.332,1.2908953
2020-10-05,1.3269,1.2911365
2020-10-06,1.3275,1.2906394
2020-10-07,1.3283,1.2918099
2020-10-08,1.3222,1.2916015
2020-10-09,1.312,1.2911881
2020-10-13,1.3138,1.2917418
2020-10-14,1.3147,1.2924453
2020-10-15,1.3243,1.2922353
2020-10-16,1.3194,1.2918403
2020-10-19,1.3155,1.2913692
2020-10-20,1.312,1.2918524
2020-10-21,1.313,1.2913198
2020-10-22,1.3132,1.2915695
2020-10-23,1.3147,1.2919283
2020-10-26,1.3214,1.2922041
2020-10-27,1.3156,1.2922636
2020-10-28,1.3321,1.2923206
2020-10-29,1.3365,1.2934736
2020-10-30,1.3332,1.2933888
2020-11-02,1.3255,1.3004813
2020-11-03,1.3132,1.2997373
2020-11-04,1.3113,1.3011923
2020-11-05,1.3045,1.2995368
2020-11-06,1.3029,1.2983084
2020-11-09,1.2978,1.2978917
2020-11-10,1.2998,1.3004861
2020-11-12,1.3107,1.3008679
2020-11-13,1.3164,1.3008449
2020-11-16,1.3072,1.3001267
2020-11-17,1.3107,1.3001027
2020-11-18,1.3049,1.2999219
2020-11-19,1.3083,1.300535
2020-11-20,1.3075,1.2993939
2020-11-23,1.3097,1.2995278
2020-11-24,1.3027,1.3014529
2020-11-25,1.2994,1.3015121
2020-11-30,1.2982,1.3025752
2020-12-01,1.2958,1.3066182
2020-12-02,1.2934,1.3062712
2020-12-03,1.2875,1.3058987
2020-12-04,1.2797,1.3054788
2020-12-07,1.2796,1.3054917
2020-12-08,1.2808,1.3050984
2020-12-09,1.2791,1.304935
2020-12-10,1.2727,1.3050245
2020-12-11,1.2767,1.3050483
2020-12-14,1.2787,1.305778
2020-12-15,1.273,1.3056346
2020-12-16,1.2755,1.3056206
2020-12-17,1.2715,1.3053763
2020-12-18,1.2776,1.3054917
2020-12-21,1.2836,1.3060945
2020-12-22,1.2918,1.305528
2020-12-23,1.2841,1.3060725
2020-12-28,1.2871,1.3061464
2020-12-29,1.2794,1.3063667
2020-12-30,1.2764,1.3056285
2020-12-31,1.2753,1.3059074
2021-01-04,1.2781,1.3124107
2021-01-05,1.27,1.3123306
2021-01-06,1.2685,1.3122356
2021-01-07,1.272,1.313447
2021-01-08,1.2698,1.3138776
2021-01-11,1.2768,1.3139337
2021-01-12,1.2745,1.3139086
2021-01-13,1.271,1.3141565
2021-01-14,1.2633,1.3139491
2021-01-15,1.2709,1.3135067
2021-01-19,1.2721,1.3139572
2021-01-21,1.2634,1.3145128
2021-01-22,1.2711,1.3145434
2021-01-25,1.2747,1.3146207
2021-01-26,1.2711,1.314774
2021-01-27,1.2782,1.3140053
2021-01-28,1.2812,1.3141122
2021-01-29,1.2776,1.313546
2021-02-01,1.2826,1.2850733
2021-02-02,1.2815,1.2864894
2021-02-03,1.2765,1.2868328
2021-02-04,1.283,1.2885169
2021-02-05,1.2781,1.2890873
2021-02-08,1.2755,1.2899035
2021-02-09,1.2713,1.2889069
2021-02-10,1.2678,1.2890223
2021-02-11,1.2689,1.2892154
2021-02-12,1.2694,1.2904423
2021-02-16,1.2694,1.2903719
2021-02-17,1.2712,1.2912364
2021-02-18,1.2706,1.2907289
2021-02-19,1.2596,1.2910303
2021-02-22,1.2606,1.2896103
2021-02-23,1.261,1.2891808
2021-02-24,1.2537,1.2905622
2021-02-25,1.2528,1.288129
2021-02-26,1.2698,1.2881519
2021-03-01,1.2652,1.2742323
2021-03-02,1.2612,1.2740005
2021-03-03,1.2611,1.272225
2021-03-04,1.2584,1.271394
2021-03-05,1.2666,1.2740216
2021-03-08,1.2672,1.2736472
2021-03-09,1.2652,1.2754878
2021-03-10,1.2641,1.2759682
2021-03-11,1.2558,1.2767826
2021-03-12,1.2471,1.2781003
2021-03-15,1.249,1.2785037
2021-03-16,1.2451,1.2777046
2021-03-17,1.2475,1.2781554
2021-03-18,1.2434,1.2758747
2021-03-19,1.2511,1.275408
2021-03-22,1.2528,1.2767088
2021-03-23,1.2548,1.2748727
2021-03-24,1.2551,1.2744099
2021-03-25,1.2613,1.2753903
2021-03-26,1.2577,1.2778823
2021-03-29,1.2592,1.2777523
2021-03-30,1.2626,1.27837
2021-03-31,1.2571,1.2795161
2021-04-01,1.2569,1.2782644
2021-04-02,1.2566,1.2782644
2021-04-05,1.2512,1.281145
2021-04-06,1.254,1.2804449
2021-04-07,1.2614,1.2806981
2021-04-08,1.2576,1.2816429
2021-04-09,1.254,1.2829772
2021-04-12,1.2556,1.28328
2021-04-13,1.2541,1.284751
