Sample,Date,Actual,Predicted
1,2020-01-17,1.3074,1.2754708827562329
1,2020-01-21,1.3068,1.2765895063912158
1,2020-01-22,1.3135,1.2761598444762399
1,2020-01-23,1.3144,1.2763827348841803
1,2020-01-24,1.3146,1.2787331841335927
1,2020-01-27,1.3176,1.281381260585582
1,2020-01-28,1.3174,1.2780470441506653
1,2020-01-29,1.3201,1.2798279744838075
1,2020-01-30,1.3216,1.276995835280985
1,2020-01-31,1.322,1.2840015707078862
2,2020-02-03,1.3295,1.299771266736032
2,2020-02-04,1.3266,1.2951298098356183
2,2020-02-05,1.3294,1.2938389331261444
2,2020-02-06,1.3292,1.290366096645883
2,2020-02-07,1.3304,1.2919553476604755
2,2020-02-10,1.3323,1.287997181718124
2,2020-02-11,1.3299,1.2883847843205347
2,2020-02-12,1.3243,1.2858957423077613
2,2020-02-13,1.3255,1.285160360007377
2,2020-02-14,1.3251,1.2841745415785035
3,2020-02-18,1.3256,1.283376624429741
3,2020-02-19,1.3232,1.2778322592445288
3,2020-02-20,1.3259,1.2792662066278178
3,2020-02-21,1.3217,1.2796284011055024
3,2020-02-24,1.3282,1.285000916658598
3,2020-02-25,1.3285,1.3013770161610263
3,2020-02-26,1.3321,1.3041316251820294
3,2020-02-27,1.3356,1.321139457129235
3,2020-02-28,1.3411,1.3274152392115517
3,2020-03-02,1.3334,1.382021554405519
4,2020-03-03,1.3352,1.3944869743790922
4,2020-03-04,1.3425,1.3710542617425951
4,2020-03-05,1.3403,1.383569597680403
4,2020-03-06,1.342,1.3830327326728273
4,2020-03-09,1.3527,1.4120526001868443
4,2020-03-10,1.3775,1.3987855619057123
4,2020-03-11,1.3748,1.4150346312070945
4,2020-03-12,1.3869,1.4510001990599788
4,2020-03-13,1.3991,1.4313101108353328
4,2020-03-16,1.3974,1.4850540366971061
5,2020-03-17,1.4188,1.4731776769194354
5,2020-03-18,1.4529,1.4833797482818323
5,2020-03-19,1.4463,1.486432424057913
5,2020-03-20,1.4363,1.495145448745944
5,2020-03-23,1.4539,1.5049912202796625
5,2020-03-24,1.448,1.4617242685543559
5,2020-03-25,1.4333,1.4547606278391778
5,2020-03-26,1.4045,1.4360885449064236
5,2020-03-27,1.4075,1.4466721615256315
5,2020-03-30,1.4169,1.435741607204759
6,2020-03-31,1.4123,1.4443355067811656
6,2020-04-01,1.4222,1.5037863111024854
6,2020-04-02,1.411,1.4979297023736446
6,2020-04-03,1.4132,1.4989114088955473
6,2020-04-06,1.4125,1.4730136754696828
6,2020-04-07,1.3971,1.4708720211473891
6,2020-04-08,1.4015,1.460364839167374
6,2020-04-09,1.398,1.453187128705498
6,2020-04-10,1.3967,1.453187128705498
6,2020-04-13,1.3953,1.456623417512605
7,2020-04-14,1.3903,1.43723067900093
7,2020-04-15,1.4105,1.4454378719322842
7,2020-04-16,1.4141,1.4424918745739568
7,2020-04-17,1.4026,1.437567091511747
7,2020-04-20,1.4067,1.4452555901774549
7,2020-04-21,1.4199,1.456819774170761
7,2020-04-22,1.4132,1.4451029767142303
7,2020-04-23,1.4028,1.4410353587276137
7,2020-04-24,1.4098,1.4362796297800329
7,2020-04-27,1.4042,1.4328757725604842
8,2020-04-28,1.3992,1.436255938088901
