Sample,Date,Actual,Predicted
1,2020-01-14,1.3056,1.302286
1,2020-01-15,1.304,1.3007483
1,2020-01-16,1.3042,1.3015319
1,2020-01-17,1.3074,1.3011696
1,2020-01-21,1.3068,1.3002205
1,2020-01-22,1.3135,1.2986509
1,2020-01-23,1.3144,1.3004993
1,2020-01-24,1.3146,1.3010079
1,2020-01-27,1.3176,1.299049
1,2020-01-28,1.3174,1.2959831
2,2020-01-15,1.304,1.3029815
2,2020-01-16,1.3042,1.3012931
2,2020-01-17,1.3074,1.302261
2,2020-01-21,1.3068,1.3017759
2,2020-01-22,1.3135,1.3008115
2,2020-01-23,1.3144,1.2992532
2,2020-01-24,1.3146,1.300943
2,2020-01-27,1.3176,1.3016465
2,2020-01-28,1.3174,1.2998747
2,2020-01-29,1.3201,1.2965553
3,2020-01-16,1.3042,1.303057
3,2020-01-17,1.3074,1.3012271
3,2020-01-21,1.3068,1.3022907
3,2020-01-22,1.3135,1.3017217
3,2020-01-23,1.3144,1.3008362
3,2020-01-24,1.3146,1.2993672
3,2020-01-27,1.3176,1.3009462
3,2020-01-28,1.3174,1.3016888
3,2020-01-29,1.3201,1.3000574
3,2020-01-30,1.3216,1.2967871
4,2020-01-17,1.3074,1.3028543
4,2020-01-21,1.3068,1.3009464
4,2020-01-22,1.3135,1.3020537
4,2020-01-23,1.3144,1.3014376
4,2020-01-24,1.3146,1.3005894
4,2020-01-27,1.3176,1.2991642
4,2020-01-28,1.3174,1.3007264
4,2020-01-29,1.3201,1.3014739
4,2020-01-30,1.3216,1.2999575
4,2020-01-31,1.322,1.2967563
5,2020-01-21,1.3068,1.3051146
5,2020-01-22,1.3135,1.3030266
5,2020-01-23,1.3144,1.3044257
5,2020-01-24,1.3146,1.3035882
5,2020-01-27,1.3176,1.3027397
5,2020-01-28,1.3174,1.3010705
5,2020-01-29,1.3201,1.3024685
5,2020-01-30,1.3216,1.3034141
5,2020-01-31,1.322,1.3022283
5,2020-02-03,1.3295,1.2985488
6,2020-01-22,1.3135,1.3061373
6,2020-01-23,1.3144,1.3040385
6,2020-01-24,1.3146,1.30543
6,2020-01-27,1.3176,1.3045938
6,2020-01-28,1.3174,1.3037884
6,2020-01-29,1.3201,1.3022058
6,2020-01-30,1.3216,1.3035592
6,2020-01-31,1.322,1.3044648
6,2020-02-03,1.3295,1.3033142
6,2020-02-04,1.3266,1.2997154
7,2020-01-23,1.3144,1.3102252
7,2020-01-24,1.3146,1.3079972
7,2020-01-27,1.3176,1.3096845
7,2020-01-28,1.3174,1.3086164
7,2020-01-29,1.3201,1.3078203
7,2020-01-30,1.3216,1.3059994
7,2020-01-31,1.322,1.3071111
7,2020-02-03,1.3295,1.3082471
7,2020-02-04,1.3266,1.307374
7,2020-02-05,1.3294,1.3032326
8,2020-01-24,1.3146,1.3129821
8,2020-01-27,1.3176,1.310836
8,2020-01-28,1.3174,1.3124349
