Sample,Date,Actual,Predicted
1,2020-01-14,1.3056,1.3014112
1,2020-01-15,1.304,1.3012617
1,2020-01-16,1.3042,1.3023155
1,2020-01-17,1.3074,1.2989126
1,2020-01-21,1.3068,1.3003198
1,2020-01-22,1.3135,1.298905
1,2020-01-23,1.3144,1.2984351
1,2020-01-24,1.3146,1.2972571
1,2020-01-27,1.3176,1.2988443
1,2020-01-28,1.3174,1.2961733
2,2020-01-15,1.304,1.3026156
2,2020-01-16,1.3042,1.3025957
2,2020-01-17,1.3074,1.3035227
2,2020-01-21,1.3068,1.3004134
2,2020-01-22,1.3135,1.3017051
2,2020-01-23,1.3144,1.3006889
2,2020-01-24,1.3146,1.3000219
2,2020-01-27,1.3176,1.2988591
2,2020-01-28,1.3174,1.3003584
2,2020-01-29,1.3201,1.2977884
3,2020-01-16,1.3042,1.3027103
3,2020-01-17,1.3074,1.302655
3,2020-01-21,1.3068,1.3034685
3,2020-01-22,1.3135,1.30093
3,2020-01-23,1.3144,1.3018639
3,2020-01-24,1.3146,1.3015144
3,2020-01-27,1.3176,1.3004766
3,2020-01-28,1.3174,1.299447
3,2020-01-29,1.3201,1.3006757
3,2020-01-30,1.3216,1.2983618
4,2020-01-17,1.3074,1.3022935
4,2020-01-21,1.3068,1.3021014
4,2020-01-22,1.3135,1.3028456
4,2020-01-23,1.3144,1.3009092
4,2020-01-24,1.3146,1.3014085
4,2020-01-27,1.3176,1.301716
4,2020-01-28,1.3174,1.3003105
4,2020-01-29,1.3201,1.2994394
4,2020-01-30,1.3216,1.3003677
4,2020-01-31,1.322,1.2983636
5,2020-01-21,1.3068,1.3021941
5,2020-01-22,1.3135,1.3018494
5,2020-01-23,1.3144,1.3025889
5,2020-01-24,1.3146,1.3010627
5,2020-01-27,1.3176,1.301217
5,2020-01-28,1.3174,1.3019192
5,2020-01-29,1.3201,1.3003113
5,2020-01-30,1.3216,1.2995297
5,2020-01-31,1.322,1.3002717
5,2020-02-03,1.3295,1.2985331
6,2020-01-22,1.3135,1.3024485
6,2020-01-23,1.3144,1.3019719
6,2020-01-24,1.3146,1.3027511
6,2020-01-27,1.3176,1.3014822
6,2020-01-28,1.3174,1.3014272
6,2020-01-29,1.3201,1.3022288
6,2020-01-30,1.3216,1.3005778
6,2020-01-31,1.322,1.2998104
6,2020-02-03,1.3295,1.3004756
6,2020-02-04,1.3266,1.2989426
7,2020-01-23,1.3144,1.3038064
7,2020-01-24,1.3146,1.3032943
7,2020-01-27,1.3176,1.3041546
7,2020-01-28,1.3174,1.3028464
7,2020-01-29,1.3201,1.3027925
7,2020-01-30,1.3216,1.3033663
7,2020-01-31,1.322,1.301887
7,2020-02-03,1.3295,1.3010175
7,2020-02-04,1.3266,1.3017939
7,2020-02-05,1.3294,1.3003389
8,2020-01-24,1.3146,1.3060194
8,2020-01-27,1.3176,1.30556
8,2020-01-28,1.3174,1.3065152
8,2020-01-29,1.3201,1.3050469
8,2020-01-30,1.3216,1.3050709
8,2020-01-31,1.322,1.3053305
8,2020-02-03,1.3295,1.3041142
8,2020-02-04,1.3266,1.3030715
8,2020-02-05,1.3294,1.3040601
8,2020-02-06,1.3292,1.3026187
9,2020-01-27,1.3176,1.3084046
9,2020-01-28,1.3174,1.3080152
9,2020-01-29,1.3201,1.3090525
9,2020-01-30,1.3216,1.307538
9,2020-01-31,1.322,1.3075544
9,2020-02-03,1.3295,1.3076646
9,2020-02-04,1.3266,1.3066298
9,2020-02-05,1.3294,1.3054373
9,2020-02-06,1.3292,1.3065913
