Date,Actual,Predicted
2020-08-28,1.3106,1.2616507
2020-08-31,1.3034,1.2617767
2020-09-01,1.3043,1.2496908
2020-09-02,1.3061,1.2486268
2020-09-03,1.3131,1.2517045
2020-09-04,1.3095,1.2523034
2020-09-08,1.3194,1.2540693
2020-09-09,1.3163,1.2531043
2020-09-10,1.3162,1.2539933
2020-09-11,1.3183,1.2540029
2020-09-14,1.3172,1.2532934
2020-09-15,1.3199,1.2528679
2020-09-16,1.3164,1.2532165
2020-09-17,1.3204,1.2534821
2020-09-18,1.3179,1.2540467
2020-09-21,1.3299,1.2544891
2020-09-22,1.3313,1.254029
2020-09-23,1.3373,1.2551064
2020-09-24,1.337,1.2552111
2020-09-25,1.3409,1.254166
2020-09-28,1.3377,1.2534622
2020-09-29,1.3411,1.2537744
2020-09-30,1.3323,1.2533908
2020-10-01,1.3289,1.2479168
2020-10-02,1.332,1.2484142
2020-10-05,1.3269,1.2473878
2020-10-06,1.3275,1.248216
2020-10-07,1.3283,1.2473501
2020-10-08,1.3222,1.2467673
2020-10-09,1.312,1.2459414
2020-10-13,1.3138,1.2449864
2020-10-14,1.3147,1.2456846
2020-10-15,1.3243,1.2458595
2020-10-16,1.3194,1.2457746
2020-10-19,1.3155,1.2468307
2020-10-20,1.312,1.2466551
2020-10-21,1.313,1.2466731
2020-10-22,1.3132,1.2464117
2020-10-23,1.3147,1.2461699
2020-10-26,1.3214,1.2473456
2020-10-27,1.3156,1.247345
2020-10-28,1.3321,1.2495557
2020-10-29,1.3365,1.2489554
2020-10-30,1.3332,1.2497028
2020-11-02,1.3255,1.2516856
2020-11-03,1.3132,1.2508688
2020-11-04,1.3113,1.2497656
2020-11-05,1.3045,1.2482077
2020-11-06,1.3029,1.2480788
2020-11-09,1.2978,1.2472106
2020-11-10,1.2998,1.2475
2020-11-12,1.3107,1.2477282
2020-11-13,1.3164,1.2464855
2020-11-16,1.3072,1.2454501
2020-11-17,1.3107,1.2458028
2020-11-18,1.3049,1.2468916
2020-11-19,1.3083,1.246528
2020-11-20,1.3075,1.2471875
2020-11-23,1.3097,1.2466513
2020-11-24,1.3027,1.2449135
2020-11-25,1.2994,1.2450212
2020-11-30,1.2982,1.2450801
2020-12-01,1.2958,1.2519076
2020-12-02,1.2934,1.2519623
2020-12-03,1.2875,1.2520709
2020-12-04,1.2797,1.2512388
2020-12-07,1.2796,1.2513567
2020-12-08,1.2808,1.2513164
2020-12-09,1.2791,1.2521306
2020-12-10,1.2727,1.2521154
2020-12-11,1.2767,1.2522502
2020-12-14,1.2787,1.2525474
2020-12-15,1.273,1.2513807
2020-12-16,1.2755,1.2512978
2020-12-17,1.2715,1.2508411
2020-12-18,1.2776,1.251235
2020-12-21,1.2836,1.2514925
2020-12-22,1.2918,1.2517042
2020-12-23,1.2841,1.2515738
2020-12-28,1.2871,1.2504574
2020-12-29,1.2794,1.250736
2020-12-30,1.2764,1.2507002
2020-12-31,1.2753,1.2502623
2021-01-04,1.2781,1.2552919
2021-01-05,1.27,1.2547519
2021-01-06,1.2685,1.2544175
2021-01-07,1.272,1.2534366
2021-01-08,1.2698,1.2530344
2021-01-11,1.2768,1.2533696
2021-01-12,1.2745,1.253137
2021-01-13,1.271,1.2527952
2021-01-14,1.2633,1.2533926
2021-01-15,1.2709,1.2539741
2021-01-19,1.2721,1.2533811
2021-01-21,1.2634,1.2526582
2021-01-22,1.2711,1.252855
2021-01-25,1.2747,1.2526864
2021-01-26,1.2711,1.2526509
2021-01-27,1.2782,1.2546668
2021-01-28,1.2812,1.2540096
2021-01-29,1.2776,1.2557275
2021-02-01,1.2826,1.244288
2021-02-02,1.2815,1.2441217
2021-02-03,1.2765,1.2440162
2021-02-04,1.283,1.2438302
2021-02-05,1.2781,1.2438109
2021-02-08,1.2755,1.2431451
2021-02-09,1.2713,1.2422549
2021-02-10,1.2678,1.2424209
2021-02-11,1.2689,1.2425545
2021-02-12,1.2694,1.2429659
2021-02-16,1.2694,1.2432642
2021-02-17,1.2712,1.2440282
2021-02-18,1.2706,1.2443987
2021-02-19,1.2596,1.244502
2021-02-22,1.2606,1.2447507
2021-02-23,1.261,1.2441192
2021-02-24,1.2537,1.2435342
2021-02-25,1.2528,1.2442323
2021-02-26,1.2698,1.2443408
2021-03-01,1.2652,1.2357289
2021-03-02,1.2612,1.2357752
2021-03-03,1.2611,1.2358629
2021-03-04,1.2584,1.2362332
2021-03-05,1.2666,1.235803
2021-03-08,1.2672,1.2359983
2021-03-09,1.2652,1.2358693
2021-03-10,1.2641,1.2356683
2021-03-11,1.2558,1.2355806
2021-03-12,1.2471,1.2353512
2021-03-15,1.249,1.2355545
2021-03-16,1.2451,1.2354002
2021-03-17,1.2475,1.2352068
2021-03-18,1.2434,1.235578
2021-03-19,1.2511,1.2353977
2021-03-22,1.2528,1.2354267
2021-03-23,1.2548,1.2353545
2021-03-24,1.2551,1.2354932
2021-03-25,1.2613,1.235454
2021-03-26,1.2577,1.2350746
2021-03-29,1.2592,1.2350541
2021-03-30,1.2626,1.2350571
2021-03-31,1.2571,1.235178
2021-04-01,1.2569,1.2247778
2021-04-02,1.2566,1.2247778
2021-04-05,1.2512,1.2241626
2021-04-06,1.254,1.2239525
2021-04-07,1.2614,1.2239903
2021-04-08,1.2576,1.2239383
2021-04-09,1.254,1.2236165
2021-04-12,1.2556,1.2238635
2021-04-13,1.2541,1.224137
2021-04-14,1.2515,1.2239958
2021-04-15,1.2539,1.2230936
2021-04-16,1.2498,1.2226512
2021-04-19,1.2534,1.2226027
2021-04-20,1.2574,1.2235689
2021-04-21,1.2484,1.2234961
2021-04-22,1.249,1.2236191
2021-04-23,1.2495,1.2228795
2021-04-26,1.2399,1.2227366
2021-04-27,1.2396,1.2231141
2021-04-28,1.2354,1.2228748
2021-04-29,1.2295,1.2228891
2021-04-30,1.2291,1.2235152
2021-05-03,1.2275,1.2140899
2021-05-04,1.232,1.214214
2021-05-05,1.2262,1.2137234
2021-05-06,1.2192,1.213359
2021-05-07,1.2137,1.2125424
2021-05-10,1.2085,1.2132413
2021-05-11,1.2092,1.2134941
2021-05-12,1.2104,1.2138277
2021-05-13,1.2147,1.2136729
2021-05-14,1.2114,1.2130232
2021-05-17,1.2073,1.2126309
2021-05-18,1.2061,1.2129086
2021-05-19,1.2089,1.2129241
2021-05-20,1.2049,1.2125103
2021-05-21,1.2072,1.2124518
2021-05-24,1.2082,1.2120032
2021-05-25,1.2069,1.2119195
2021-05-26,1.2111,1.2112472
2021-05-27,1.2075,1.2111748
2021-05-28,1.2087,1.2108711
2021-06-01,1.2031,1.2159958
2021-06-02,1.2047,1.2162269
2021-06-03,1.2116,1.2161729
2021-06-04,1.2088,1.2156911
2021-06-07,1.2062,1.2154524
2021-06-08,1.2101,1.2156549
2021-06-09,1.2102,1.2156427
2021-06-10,1.2095,1.2151457
2021-06-11,1.2162,1.2149392
2021-06-14,1.2131,1.2147312
2021-06-15,1.2202,1.2150359
2021-06-16,1.2165,1.215087
2021-06-17,1.2353,1.2156242
2021-06-18,1.2437,1.2157427
2021-06-21,1.237,1.215673
2021-06-22,1.2364,1.2152822
2021-06-23,1.2286,1.2161505
2021-06-24,1.2337,1.215879
2021-06-25,1.2293,1.2157489
2021-06-28,1.2325,1.2159011
2021-06-29,1.2378,1.2157447
2021-06-30,1.2404,1.2157533
2021-07-01,1.2405,1.2167639
2021-07-02,1.2346,1.2160863
2021-07-06,1.2466,1.2158197
2021-07-07,1.2506,1.2153739
2021-07-08,1.2533,1.2159956
2021-07-09,1.2476,1.215487
2021-07-12,1.2455,1.2155143
2021-07-13,1.2511,1.215368
2021-07-14,1.2521,1.215561
2021-07-15,1.2575,1.2157373
2021-07-16,1.2586,1.2165573
2021-07-19,1.2752,1.2177767
2021-07-20,1.2724,1.2168235
2021-07-21,1.2538,1.2161527
2021-07-22,1.2578,1.2157645
2021-07-23,1.258,1.2152609
2021-07-26,1.254,1.2152754
2021-07-27,1.2579,1.215433
2021-07-28,1.2563,1.2152712
2021-07-29,1.2439,1.2147408
2021-07-30,1.2466,1.2147356
2021-08-02,1.2501,1.2041663
2021-08-03,1.255,1.2035885
2021-08-04,1.2551,1.2038527
2021-08-05,1.2487,1.2034371
2021-08-06,1.2563,1.2032872
