Sample,Date,Actual,Predicted
1,2018-05-14,1.2761,1.2819256
1,2018-05-15,1.2868,1.2817346
1,2018-05-16,1.2828,1.2822809
1,2018-05-17,1.2815,1.2827625
1,2018-05-18,1.2892,1.2822382
2,2018-05-15,1.2868,1.2813364
2,2018-05-16,1.2828,1.2809353
2,2018-05-17,1.2815,1.2817073
2,2018-05-18,1.2892,1.2819353
2,2018-05-21,1.2835,1.2814448
3,2018-05-16,1.2828,1.2829282
3,2018-05-17,1.2815,1.2823919
3,2018-05-18,1.2892,1.2832392
3,2018-05-21,1.2835,1.283262
3,2018-05-22,1.2775,1.2829401
4,2018-05-17,1.2815,1.2845882
4,2018-05-18,1.2892,1.2843502
4,2018-05-21,1.2835,1.2849394
4,2018-05-22,1.2775,1.2850561
4,2018-05-23,1.2882000000000002,1.2846793
5,2018-05-18,1.2892,1.2863631
5,2018-05-21,1.2835,1.2860636
5,2018-05-22,1.2775,1.2866248
5,2018-05-23,1.2882000000000002,1.2867199
5,2018-05-24,1.2907,1.286461
6,2018-05-21,1.2835,1.2874155
6,2018-05-22,1.2775,1.2870915
6,2018-05-23,1.2882000000000002,1.2876428
6,2018-05-24,1.2907,1.2877204
6,2018-05-25,1.2972,1.2875276
7,2018-05-22,1.2775,1.2866958
7,2018-05-23,1.2882000000000002,1.2866423
7,2018-05-24,1.2907,1.2870156
7,2018-05-25,1.2972,1.2872617
7,2018-05-29,1.3027,1.2869207
8,2018-05-23,1.2882000000000002,1.2861254
8,2018-05-24,1.2907,1.2859437
8,2018-05-25,1.2972,1.2864116
8,2018-05-29,1.3027,1.2866504
8,2018-05-30,1.2842,1.2863239
9,2018-05-24,1.2907,1.2875311
9,2018-05-25,1.2972,1.2870762
9,2018-05-29,1.3027,1.2877029
9,2018-05-30,1.2842,1.287726
9,2018-05-31,1.297,1.2876333
10,2018-05-25,1.2972,1.2919012
10,2018-05-29,1.3027,1.2915112
10,2018-05-30,1.2842,1.2920287
10,2018-05-31,1.297,1.2919036
10,2018-06-01,1.2948,1.2919331
11,2018-05-29,1.3027,1.297198
11,2018-05-30,1.2842,1.2966181
11,2018-05-31,1.297,1.2971327
11,2018-06-01,1.2948,1.2968619
11,2018-06-04,1.2922,1.2971698
12,2018-05-30,1.2842,1.2978737
12,2018-05-31,1.297,1.2973005
12,2018-06-01,1.2948,1.2977864
12,2018-06-04,1.2922,1.2976913
12,2018-06-05,1.3008,1.2980509
13,2018-05-31,1.297,1.2963256
13,2018-06-01,1.2948,1.2955496
13,2018-06-04,1.2922,1.2962054
13,2018-06-05,1.3008,1.2962153
13,2018-06-06,1.2907,1.2965273
14,2018-06-01,1.2948,1.2961328
14,2018-06-04,1.2922,1.2954657
14,2018-06-05,1.3008,1.2960743
14,2018-06-06,1.2907,1.2960972
14,2018-06-07,1.2988,1.2963235
15,2018-06-04,1.2922,1.2961498
15,2018-06-05,1.3008,1.2955945
15,2018-06-06,1.2907,1.2961417
15,2018-06-07,1.2988,1.2961748
15,2018-06-08,1.2956,1.2962788
16,2018-06-05,1.3008,1.2976626
16,2018-06-06,1.2907,1.2969903
16,2018-06-07,1.2988,1.2975836
16,2018-06-08,1.2956,1.2976048
16,2018-06-11,1.298,1.2977096
17,2018-06-06,1.2907,1.2979077
17,2018-06-07,1.2988,1.2973026
17,2018-06-08,1.2956,1.2978355
17,2018-06-11,1.298,1.2979285
17,2018-06-12,1.2987,1.2980208
18,2018-06-07,1.2988,1.2979319
18,2018-06-08,1.2956,1.2973112
18,2018-06-11,1.298,1.2978808
18,2018-06-12,1.2987,1.2979945
18,2018-06-13,1.2963,1.2979771
19,2018-06-08,1.2956,1.2984405
19,2018-06-11,1.298,1.2978306
19,2018-06-12,1.2987,1.2983679
19,2018-06-13,1.2963,1.298507
19,2018-06-14,1.307,1.2984929
20,2018-06-11,1.298,1.2987628
20,2018-06-12,1.2987,1.2981927
20,2018-06-13,1.2963,1.2987146
20,2018-06-14,1.307,1.2988327
20,2018-06-15,1.3167,1.2987713
21,2018-06-12,1.2987,1.2997737
21,2018-06-13,1.2963,1.2991792
21,2018-06-14,1.307,1.2996908
21,2018-06-15,1.3167,1.2998086
21,2018-06-18,1.3229,1.2997499
22,2018-06-13,1.2963,1.3001997
22,2018-06-14,1.307,1.2996956
22,2018-06-15,1.3167,1.3001357
22,2018-06-18,1.3229,1.3003197
22,2018-06-19,1.3263,1.3001295
23,2018-06-14,1.307,1.3019332
23,2018-06-15,1.3167,1.3013198
23,2018-06-18,1.3229,1.3018045
23,2018-06-19,1.3263,1.3019016
23,2018-06-20,1.3291,1.3017567
24,2018-06-15,1.3167,1.3069485
24,2018-06-18,1.3229,1.3061266
24,2018-06-19,1.3263,1.3066579
24,2018-06-20,1.3291,1.3065081
24,2018-06-21,1.3319,1.306628
25,2018-06-18,1.3229,1.3140385
25,2018-06-19,1.3263,1.3129928
25,2018-06-20,1.3291,1.3135369
25,2018-06-21,1.3319,1.313137
25,2018-06-22,1.3318,1.313592
26,2018-06-19,1.3263,1.3204306
26,2018-06-20,1.3291,1.3190879
26,2018-06-21,1.3319,1.3196173
26,2018-06-22,1.3318,1.3190749
26,2018-06-25,1.3313,1.3200046
27,2018-06-20,1.3291,1.3248442
27,2018-06-21,1.3319,1.3234292
27,2018-06-22,1.3318,1.3238246
27,2018-06-25,1.3313,1.3233528
27,2018-06-26,1.3293,1.3243872
28,2018-06-21,1.3319,1.3275276
28,2018-06-22,1.3318,1.3260462
28,2018-06-25,1.3313,1.3264041
28,2018-06-26,1.3293,1.326031
28,2018-06-27,1.33,1.3270942
29,2018-06-22,1.3318,1.3295983
29,2018-06-25,1.3313,1.3280611
29,2018-06-26,1.3293,1.3283954
29,2018-06-27,1.33,1.3281329
29,2018-06-28,1.3253,1.3291652
30,2018-06-25,1.3313,1.3309637
30,2018-06-26,1.3293,1.3293722
30,2018-06-27,1.33,1.3297052
30,2018-06-28,1.3253,1.3295615
30,2018-06-29,1.314,1.3305087
31,2018-06-26,1.3293,1.3311056
31,2018-06-27,1.33,1.3294529
31,2018-06-28,1.3253,1.3298385
31,2018-06-29,1.314,1.3298026
31,2018-07-02,1.3213,1.3306551
32,2018-06-27,1.33,1.3313988
32,2018-06-28,1.3253,1.3295552
32,2018-06-29,1.314,1.330093
32,2018-07-02,1.3213,1.3300848
32,2018-07-03,1.315,1.3308089
33,2018-06-28,1.3253,1.3304093
33,2018-06-29,1.314,1.3285179
33,2018-07-02,1.3213,1.3292032
33,2018-07-03,1.315,1.3292997
33,2018-07-05,1.3121,1.3297986
34,2018-06-29,1.314,1.3264787
34,2018-07-02,1.3213,1.324892
34,2018-07-03,1.315,1.3254884
34,2018-07-05,1.3121,1.3259342
34,2018-07-06,1.309,1.3259124
35,2018-07-02,1.3213,1.3224803
