Date,Open,High,Low,Close
12/31/2012,"0.30600%","0.30600%","0.30600%","0.30600%"
12/28/2012,"0.30800%","0.30800%","0.30800%","0.30800%"
12/27/2012,"0.31100%","0.31100%","0.31100%","0.31100%"
12/26/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
12/24/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
12/21/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
12/20/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
12/19/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
12/18/2012,"0.30900%","0.30900%","0.30900%","0.30900%"
12/17/2012,"0.30900%","0.30900%","0.30900%","0.30900%"
12/14/2012,"0.30800%","0.30800%","0.30800%","0.30800%"
12/13/2012,"0.30800%","0.30800%","0.30800%","0.30800%"
12/12/2012,"0.30950%","0.30950%","0.30950%","0.30950%"
12/11/2012,"0.30950%","0.30950%","0.30950%","0.30950%"
12/10/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
12/07/2012,"0.30950%","0.30950%","0.30950%","0.30950%"
12/06/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
12/05/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
12/04/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
12/03/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
11/30/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
11/29/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
11/28/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
11/27/2012,"0.31150%","0.31150%","0.31150%","0.31150%"
11/26/2012,"0.31150%","0.31150%","0.31150%","0.31150%"
11/23/2012,"0.31150%","0.31150%","0.31150%","0.31150%"
11/22/2012,"0.31150%","0.31150%","0.31150%","0.31150%"
11/21/2012,"0.31150%","0.31150%","0.31150%","0.31150%"
11/20/2012,"0.31050%","0.31050%","0.31050%","0.31050%"
11/19/2012,"0.31150%","0.31150%","0.31150%","0.31150%"
11/16/2012,"0.31150%","0.31150%","0.31150%","0.31150%"
11/15/2012,"0.31100%","0.31100%","0.31100%","0.31100%"
11/14/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
11/13/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
11/12/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
11/09/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
11/08/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
11/07/2012,"0.31000%","0.31000%","0.31000%","0.31000%"
11/06/2012,"0.31175%","0.31175%","0.31175%","0.31175%"
11/05/2012,"0.31175%","0.31175%","0.31175%","0.31175%"
11/02/2012,"0.31275%","0.31275%","0.31275%","0.31275%"
11/01/2012,"0.31275%","0.31275%","0.31275%","0.31275%"
10/31/2012,"0.31275%","0.31275%","0.31275%","0.31275%"
10/30/2012,"0.31275%","0.31275%","0.31275%","0.31275%"
10/29/2012,"0.31275%","0.31275%","0.31275%","0.31275%"
10/26/2012,"0.31325%","0.31325%","0.31325%","0.31325%"
10/25/2012,"0.31325%","0.31325%","0.31325%","0.31325%"
10/24/2012,"0.31425%","0.31425%","0.31425%","0.31425%"
10/23/2012,"0.31525%","0.31525%","0.31525%","0.31525%"
10/22/2012,"0.31575%","0.31575%","0.31575%","0.31575%"
10/19/2012,"0.31725%","0.31725%","0.31725%","0.31725%"
10/18/2012,"0.31875%","0.31875%","0.31875%","0.31875%"
10/17/2012,"0.32075%","0.32075%","0.32075%","0.32075%"
10/16/2012,"0.32475%","0.32475%","0.32475%","0.32475%"
10/15/2012,"0.33025%","0.33025%","0.33025%","0.33025%"
10/12/2012,"0.33425%","0.33425%","0.33425%","0.33425%"
10/11/2012,"0.34025%","0.34025%","0.34025%","0.34025%"
10/10/2012,"0.34275%","0.34275%","0.34275%","0.34275%"
10/09/2012,"0.34675%","0.34675%","0.34675%","0.34675%"
10/08/2012,"0.35025%","0.35025%","0.35025%","0.35025%"
10/05/2012,"0.35125%","0.35125%","0.35125%","0.35125%"
10/04/2012,"0.35225%","0.35225%","0.35225%","0.35225%"
10/03/2012,"0.35250%","0.35250%","0.35250%","0.35250%"
10/02/2012,"0.35400%","0.35400%","0.35400%","0.35400%"
10/01/2012,"0.35525%","0.35525%","0.35525%","0.35525%"
09/28/2012,"0.35850%","0.35850%","0.35850%","0.35850%"
09/27/2012,"0.36025%","0.36025%","0.36025%","0.36025%"
09/26/2012,"0.36225%","0.36225%","0.36225%","0.36225%"
09/25/2012,"0.36350%","0.36350%","0.36350%","0.36350%"
09/24/2012,"0.36725%","0.36725%","0.36725%","0.36725%"
09/21/2012,"0.36925%","0.36925%","0.36925%","0.36925%"
09/20/2012,"0.37300%","0.37300%","0.37300%","0.37300%"
09/19/2012,"0.37575%","0.37575%","0.37575%","0.37575%"
09/18/2012,"0.37875%","0.37875%","0.37875%","0.37875%"
09/17/2012,"0.38075%","0.38075%","0.38075%","0.38075%"
09/14/2012,"0.38525%","0.38525%","0.38525%","0.38525%"
09/13/2012,"0.38875%","0.38875%","0.38875%","0.38875%"
09/12/2012,"0.39425%","0.39425%","0.39425%","0.39425%"
09/11/2012,"0.39875%","0.39875%","0.39875%","0.39875%"
09/10/2012,"0.40425%","0.40425%","0.40425%","0.40425%"
09/07/2012,"0.40775%","0.40775%","0.40775%","0.40775%"
09/06/2012,"0.40835%","0.40835%","0.40835%","0.40835%"
09/05/2012,"0.40985%","0.40985%","0.40985%","0.40985%"
09/04/2012,"0.41185%","0.41185%","0.41185%","0.41185%"
09/03/2012,"0.41435%","0.41435%","0.41435%","0.41435%"
08/31/2012,"0.41825%","0.41825%","0.41825%","0.41825%"
08/30/2012,"0.42075%","0.42075%","0.42075%","0.42075%"
08/29/2012,"0.42175%","0.42175%","0.42175%","0.42175%"
08/28/2012,"0.42275%","0.42275%","0.42275%","0.42275%"
08/24/2012,"0.42485%","0.42485%","0.42485%","0.42485%"
08/23/2012,"0.42685%","0.42685%","0.42685%","0.42685%"
08/22/2012,"0.43075%","0.43075%","0.43075%","0.43075%"
08/21/2012,"0.43350%","0.43350%","0.43350%","0.43350%"
08/20/2012,"0.43350%","0.43350%","0.43350%","0.43350%"
08/17/2012,"0.43450%","0.43450%","0.43450%","0.43450%"
08/16/2012,"0.43350%","0.43350%","0.43350%","0.43350%"
08/15/2012,"0.43450%","0.43450%","0.43450%","0.43450%"
08/14/2012,"0.43650%","0.43650%","0.43650%","0.43650%"
08/13/2012,"0.43450%","0.43450%","0.43450%","0.43450%"
08/10/2012,"0.43700%","0.43700%","0.43700%","0.43700%"
08/09/2012,"0.43750%","0.43750%","0.43750%","0.43750%"
08/08/2012,"0.43675%","0.43675%","0.43675%","0.43675%"
08/07/2012,"0.43785%","0.43785%","0.43785%","0.43785%"
08/06/2012,"0.43885%","0.43885%","0.43885%","0.43885%"
08/03/2012,"0.43935%","0.43935%","0.43935%","0.43935%"
08/02/2012,"0.44185%","0.44185%","0.44185%","0.44185%"
08/01/2012,"0.44160%","0.44160%","0.44160%","0.44160%"
07/31/2012,"0.44260%","0.44260%","0.44260%","0.44260%"
07/30/2012,"0.44460%","0.44460%","0.44460%","0.44460%"
07/27/2012,"0.44660%","0.44660%","0.44660%","0.44660%"
07/26/2012,"0.44710%","0.44710%","0.44710%","0.44710%"
07/25/2012,"0.44810%","0.44810%","0.44810%","0.44810%"
07/24/2012,"0.44810%","0.44810%","0.44810%","0.44810%"
07/23/2012,"0.45110%","0.45110%","0.45110%","0.45110%"
07/20/2012,"0.45210%","0.45210%","0.45210%","0.45210%"
07/19/2012,"0.45310%","0.45310%","0.45310%","0.45310%"
07/18/2012,"0.45510%","0.45510%","0.45510%","0.45510%"
07/17/2012,"0.45510%","0.45510%","0.45510%","0.45510%"
07/16/2012,"0.45510%","0.45510%","0.45510%","0.45510%"
07/13/2012,"0.45510%","0.45510%","0.45510%","0.45510%"
07/12/2012,"0.45510%","0.45510%","0.45510%","0.45510%"
07/11/2012,"0.45610%","0.45610%","0.45610%","0.45610%"
07/10/2012,"0.45760%","0.45760%","0.45760%","0.45760%"
07/09/2012,"0.45760%","0.45760%","0.45760%","0.45760%"
07/06/2012,"0.45760%","0.45760%","0.45760%","0.45760%"
07/05/2012,"0.45960%","0.45960%","0.45960%","0.45960%"
07/04/2012,"0.45960%","0.45960%","0.45960%","0.45960%"
07/03/2012,"0.46060%","0.46060%","0.46060%","0.46060%"
07/02/2012,"0.46060%","0.46060%","0.46060%","0.46060%"
06/29/2012,"0.46060%","0.46060%","0.46060%","0.46060%"
06/28/2012,"0.46060%","0.46060%","0.46060%","0.46060%"
06/27/2012,"0.46060%","0.46060%","0.46060%","0.46060%"
06/26/2012,"0.46060%","0.46060%","0.46060%","0.46060%"
06/25/2012,"0.46060%","0.46060%","0.46060%","0.46060%"
06/22/2012,"0.46160%","0.46160%","0.46160%","0.46160%"
06/21/2012,"0.46760%","0.46760%","0.46760%","0.46760%"
06/20/2012,"0.46760%","0.46760%","0.46760%","0.46760%"
06/19/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/18/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/15/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/14/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/13/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/12/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/11/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/08/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/07/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/06/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
06/01/2012,"0.46785%","0.46785%","0.46785%","0.46785%"
05/31/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/30/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/29/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/28/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/25/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/24/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/23/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/22/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/21/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/18/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/17/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/16/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/15/2012,"0.46585%","0.46585%","0.46585%","0.46585%"
05/14/2012,"0.46585%","0.46585%","0.46585%","0.46585%"
05/11/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/10/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/09/2012,"0.46685%","0.46685%","0.46685%","0.46685%"
05/08/2012,"0.46585%","0.46585%","0.46585%","0.46585%"
05/04/2012,"0.46585%","0.46585%","0.46585%","0.46585%"
