Date,Open,High,Low,Close
12/31/2015,"0.61270%","0.61270%","0.61270%","0.61270%"
12/30/2015,"0.61220%","0.61220%","0.61220%","0.61220%"
12/29/2015,"0.60670%","0.60670%","0.60670%","0.60670%"
12/24/2015,"0.60310%","0.60310%","0.60310%","0.60310%"
12/23/2015,"0.60310%","0.60310%","0.60310%","0.60310%"
12/22/2015,"0.59435%","0.59435%","0.59435%","0.59435%"
12/21/2015,"0.59310%","0.59310%","0.59310%","0.59310%"
12/18/2015,"0.58550%","0.58550%","0.58550%","0.58550%"
12/17/2015,"0.56950%","0.56950%","0.56950%","0.56950%"
12/16/2015,"0.53250%","0.53250%","0.53250%","0.53250%"
12/15/2015,"0.52575%","0.52575%","0.52575%","0.52575%"
12/14/2015,"0.51775%","0.51775%","0.51775%","0.51775%"
12/11/2015,"0.51200%","0.51200%","0.51200%","0.51200%"
12/10/2015,"0.50200%","0.50200%","0.50200%","0.50200%"
12/09/2015,"0.49200%","0.49200%","0.49200%","0.49200%"
12/08/2015,"0.48650%","0.48650%","0.48650%","0.48650%"
12/07/2015,"0.47700%","0.47700%","0.47700%","0.47700%"
12/04/2015,"0.46200%","0.46200%","0.46200%","0.46200%"
12/03/2015,"0.45200%","0.45200%","0.45200%","0.45200%"
12/02/2015,"0.43600%","0.43600%","0.43600%","0.43600%"
12/01/2015,"0.42220%","0.42220%","0.42220%","0.42220%"
11/30/2015,"0.41620%","0.41620%","0.41620%","0.41620%"
11/27/2015,"0.41420%","0.41420%","0.41420%","0.41420%"
11/26/2015,"0.41170%","0.41170%","0.41170%","0.41170%"
11/25/2015,"0.40670%","0.40670%","0.40670%","0.40670%"
11/24/2015,"0.40230%","0.40230%","0.40230%","0.40230%"
11/23/2015,"0.39320%","0.39320%","0.39320%","0.39320%"
11/20/2015,"0.38210%","0.38210%","0.38210%","0.38210%"
11/19/2015,"0.37760%","0.37760%","0.37760%","0.37760%"
11/18/2015,"0.36960%","0.36960%","0.36960%","0.36960%"
11/17/2015,"0.36710%","0.36710%","0.36710%","0.36710%"
11/16/2015,"0.36410%","0.36410%","0.36410%","0.36410%"
11/13/2015,"0.36360%","0.36360%","0.36360%","0.36360%"
11/12/2015,"0.36160%","0.36160%","0.36160%","0.36160%"
11/11/2015,"0.35910%","0.35910%","0.35910%","0.35910%"
11/10/2015,"0.35610%","0.35610%","0.35610%","0.35610%"
11/09/2015,"0.35560%","0.35560%","0.35560%","0.35560%"
11/06/2015,"0.34140%","0.34140%","0.34140%","0.34140%"
11/05/2015,"0.34390%","0.34390%","0.34390%","0.34390%"
11/04/2015,"0.33660%","0.33660%","0.33660%","0.33660%"
11/03/2015,"0.33360%","0.33360%","0.33360%","0.33360%"
11/02/2015,"0.33410%","0.33410%","0.33410%","0.33410%"
10/30/2015,"0.33410%","0.33410%","0.33410%","0.33410%"
10/29/2015,"0.32890%","0.32890%","0.32890%","0.32890%"
10/28/2015,"0.32190%","0.32190%","0.32190%","0.32190%"
10/27/2015,"0.32390%","0.32390%","0.32390%","0.32390%"
10/26/2015,"0.32315%","0.32315%","0.32315%","0.32315%"
10/23/2015,"0.32290%","0.32290%","0.32290%","0.32290%"
