Date,Open,High,Low,Close
12/31/2018,"2.80763%","2.80763%","2.80763%","2.80763%"
12/28/2018,"2.79700%","2.79700%","2.79700%","2.79700%"
12/27/2018,"2.80300%","2.80300%","2.80300%","2.80300%"
12/24/2018,"2.81344%","2.81344%","2.81344%","2.81344%"
12/21/2018,"2.82163%","2.82163%","2.82163%","2.82163%"
12/20/2018,"2.82375%","2.82375%","2.82375%","2.82375%"
12/19/2018,"2.78963%","2.78963%","2.78963%","2.78963%"
12/18/2018,"2.79200%","2.79200%","2.79200%","2.79200%"
12/17/2018,"2.80363%","2.80363%","2.80363%","2.80363%"
12/14/2018,"2.80069%","2.80069%","2.80069%","2.80069%"
12/13/2018,"2.78819%","2.78819%","2.78819%","2.78819%"
12/12/2018,"2.77750%","2.77750%","2.77750%","2.77750%"
12/11/2018,"2.77900%","2.77900%","2.77900%","2.77900%"
12/10/2018,"2.77594%","2.77594%","2.77594%","2.77594%"
12/07/2018,"2.77106%","2.77106%","2.77106%","2.77106%"
12/06/2018,"2.76713%","2.76713%","2.76713%","2.76713%"
12/05/2018,"2.76575%","2.76575%","2.76575%","2.76575%"
12/04/2018,"2.73888%","2.73888%","2.73888%","2.73888%"
12/03/2018,"2.75125%","2.75125%","2.75125%","2.75125%"
11/30/2018,"2.73613%","2.73613%","2.73613%","2.73613%"
11/29/2018,"2.73813%","2.73813%","2.73813%","2.73813%"
11/28/2018,"2.70663%","2.70663%","2.70663%","2.70663%"
11/27/2018,"2.70600%","2.70600%","2.70600%","2.70600%"
11/26/2018,"2.70681%","2.70681%","2.70681%","2.70681%"
11/25/2018,"2.69119%","2.69119%","2.69119%","2.69119%"
11/23/2018,"2.69119%","2.69119%","2.69119%","2.69119%"
11/22/2018,"2.68925%","2.68925%","2.68925%","2.68925%"
11/21/2018,"2.67694%","2.67694%","2.67694%","2.67694%"
11/20/2018,"2.65313%","2.65313%","2.65313%","2.65313%"
11/19/2018,"2.64581%","2.64581%","2.64581%","2.64581%"
11/16/2018,"2.64450%","2.64450%","2.64450%","2.64450%"
11/15/2018,"2.64000%","2.64000%","2.64000%","2.64000%"
11/14/2018,"2.62900%","2.62900%","2.62900%","2.62900%"
11/13/2018,"2.61613%","2.61613%","2.61613%","2.61613%"
11/12/2018,"2.61413%","2.61413%","2.61413%","2.61413%"
11/09/2018,"2.61813%","2.61813%","2.61813%","2.61813%"
11/08/2018,"2.61463%","2.61463%","2.61463%","2.61463%"
11/07/2018,"2.60113%","2.60113%","2.60113%","2.60113%"
11/06/2018,"2.59125%","2.59125%","2.59125%","2.59125%"
11/05/2018,"2.58925%","2.58925%","2.58925%","2.58925%"
11/02/2018,"2.59238%","2.59238%","2.59238%","2.59238%"
11/01/2018,"2.58150%","2.58150%","2.58150%","2.58150%"
10/31/2018,"2.55850%","2.55850%","2.55850%","2.55850%"
10/30/2018,"2.54100%","2.54100%","2.54100%","2.54100%"
10/29/2018,"2.52663%","2.52663%","2.52663%","2.52663%"
10/28/2018,"2.52038%","2.52038%","2.52038%","2.52038%"
10/26/2018,"2.52038%","2.52038%","2.52038%","2.52038%"
10/25/2018,"2.50925%","2.50925%","2.50925%","2.50925%"
10/24/2018,"2.50800%","2.50800%","2.50800%","2.50800%"
10/23/2018,"2.48988%","2.48988%","2.48988%","2.48988%"
10/22/2018,"2.48738%","2.48738%","2.48738%","2.48738%"
10/19/2018,"2.47719%","2.47719%","2.47719%","2.47719%"
10/18/2018,"2.46900%","2.46900%","2.46900%","2.46900%"
10/17/2018,"2.44963%","2.44963%","2.44963%","2.44963%"
10/16/2018,"2.44456%","2.44456%","2.44456%","2.44456%"
10/15/2018,"2.44881%","2.44881%","2.44881%","2.44881%"
10/14/2018,"2.43644%","2.43644%","2.43644%","2.43644%"
10/12/2018,"2.43644%","2.43644%","2.43644%","2.43644%"
10/11/2018,"2.43631%","2.43631%","2.43631%","2.43631%"
10/10/2018,"2.42519%","2.42519%","2.42519%","2.42519%"
10/09/2018,"2.42044%","2.42044%","2.42044%","2.42044%"
10/08/2018,"2.41425%","2.41425%","2.41425%","2.41425%"
10/05/2018,"2.40806%","2.40806%","2.40806%","2.40806%"
10/04/2018,"2.40963%","2.40963%","2.40963%","2.40963%"
10/03/2018,"2.40825%","2.40825%","2.40825%","2.40825%"
10/02/2018,"2.40750%","2.40750%","2.40750%","2.40750%"
10/01/2018,"2.39813%","2.39813%","2.39813%","2.39813%"
09/30/2018,"2.39838%","2.39838%","2.39838%","2.39838%"
09/28/2018,"2.39838%","2.39838%","2.39838%","2.39838%"
09/27/2018,"2.39600%","2.39600%","2.39600%","2.39600%"
09/26/2018,"2.38613%","2.38613%","2.38613%","2.38613%"
09/25/2018,"2.38100%","2.38100%","2.38100%","2.38100%"
09/24/2018,"2.37363%","2.37363%","2.37363%","2.37363%"
09/21/2018,"2.37263%","2.37263%","2.37263%","2.37263%"
09/20/2018,"2.36638%","2.36638%","2.36638%","2.36638%"
09/19/2018,"2.35338%","2.35338%","2.35338%","2.35338%"
09/18/2018,"2.33750%","2.33750%","2.33750%","2.33750%"
09/17/2018,"2.33875%","2.33875%","2.33875%","2.33875%"
09/14/2018,"2.33713%","2.33713%","2.33713%","2.33713%"
09/13/2018,"2.33413%","2.33413%","2.33413%","2.33413%"
09/12/2018,"2.33150%","2.33150%","2.33150%","2.33150%"
09/11/2018,"2.33425%","2.33425%","2.33425%","2.33425%"
09/10/2018,"2.33425%","2.33425%","2.33425%","2.33425%"
09/07/2018,"2.33125%","2.33125%","2.33125%","2.33125%"
09/06/2018,"2.32706%","2.32706%","2.32706%","2.32706%"
09/05/2018,"2.31681%","2.31681%","2.31681%","2.31681%"
09/04/2018,"2.32275%","2.32275%","2.32275%","2.32275%"
09/03/2018,"2.31563%","2.31563%","2.31563%","2.31563%"
08/31/2018,"2.32075%","2.32075%","2.32075%","2.32075%"
08/30/2018,"2.32125%","2.32125%","2.32125%","2.32125%"
08/29/2018,"2.31263%","2.31263%","2.31263%","2.31263%"
08/28/2018,"2.31475%","2.31475%","2.31475%","2.31475%"
08/24/2018,"2.31725%","2.31725%","2.31725%","2.31725%"
08/23/2018,"2.31138%","2.31138%","2.31138%","2.31138%"
08/22/2018,"2.31175%","2.31175%","2.31175%","2.31175%"
08/21/2018,"2.31025%","2.31025%","2.31025%","2.31025%"
08/20/2018,"2.30963%","2.30963%","2.30963%","2.30963%"
08/17/2018,"2.31188%","2.31188%","2.31188%","2.31188%"
08/16/2018,"2.32225%","2.32225%","2.32225%","2.32225%"
08/15/2018,"2.31175%","2.31175%","2.31175%","2.31175%"
08/14/2018,"2.31519%","2.31519%","2.31519%","2.31519%"
08/13/2018,"2.31375%","2.31375%","2.31375%","2.31375%"
08/10/2018,"2.31925%","2.31925%","2.31925%","2.31925%"
08/09/2018,"2.33800%","2.33800%","2.33800%","2.33800%"
08/08/2018,"2.34050%","2.34050%","2.34050%","2.34050%"
08/07/2018,"2.34144%","2.34144%","2.34144%","2.34144%"
08/06/2018,"2.34325%","2.34325%","2.34325%","2.34325%"
08/03/2018,"2.34300%","2.34300%","2.34300%","2.34300%"
08/02/2018,"2.34050%","2.34050%","2.34050%","2.34050%"
08/01/2018,"2.34825%","2.34825%","2.34825%","2.34825%"
07/31/2018,"2.34856%","2.34856%","2.34856%","2.34856%"
07/30/2018,"2.34313%","2.34313%","2.34313%","2.34313%"
07/27/2018,"2.34238%","2.34238%","2.34238%","2.34238%"
07/26/2018,"2.33888%","2.33888%","2.33888%","2.33888%"
07/25/2018,"2.33688%","2.33688%","2.33688%","2.33688%"
07/24/2018,"2.33488%","2.33488%","2.33488%","2.33488%"
07/23/2018,"2.33531%","2.33531%","2.33531%","2.33531%"
07/20/2018,"2.34156%","2.34156%","2.34156%","2.34156%"
07/19/2018,"2.34706%","2.34706%","2.34706%","2.34706%"
07/18/2018,"2.34750%","2.34750%","2.34750%","2.34750%"
07/17/2018,"2.34194%","2.34194%","2.34194%","2.34194%"
07/16/2018,"2.33263%","2.33263%","2.33263%","2.33263%"
07/13/2018,"2.33600%","2.33600%","2.33600%","2.33600%"
07/12/2018,"2.33919%","2.33919%","2.33919%","2.33919%"
07/11/2018,"2.33700%","2.33700%","2.33700%","2.33700%"
07/10/2018,"2.33744%","2.33744%","2.33744%","2.33744%"
07/09/2018,"2.33313%","2.33313%","2.33313%","2.33313%"
07/06/2018,"2.33144%","2.33144%","2.33144%","2.33144%"
07/05/2018,"2.33863%","2.33863%","2.33863%","2.33863%"
07/04/2018,"2.33731%","2.33731%","2.33731%","2.33731%"
07/03/2018,"2.33725%","2.33725%","2.33725%","2.33725%"
07/02/2018,"2.34250%","2.34250%","2.34250%","2.34250%"
06/29/2018,"2.33575%","2.33575%","2.33575%","2.33575%"
06/28/2018,"2.33738%","2.33738%","2.33738%","2.33738%"
06/27/2018,"2.33438%","2.33438%","2.33438%","2.33438%"
06/26/2018,"2.33563%","2.33563%","2.33563%","2.33563%"
06/25/2018,"2.33700%","2.33700%","2.33700%","2.33700%"
06/24/2018,"2.33888%","2.33888%","2.33888%","2.33888%"
06/22/2018,"2.33888%","2.33888%","2.33888%","2.33888%"
06/21/2018,"2.33506%","2.33506%","2.33506%","2.33506%"
06/20/2018,"2.33188%","2.33188%","2.33188%","2.33188%"
06/19/2018,"2.33025%","2.33025%","2.33025%","2.33025%"
