Date,Open,High,Low,Close
12/30/2016,"0.99789%","0.99789%","0.99789%","0.99789%"
12/29/2016,"0.99789%","0.99789%","0.99789%","0.99789%"
12/28/2016,"0.99817%","0.99817%","0.99817%","0.99817%"
12/23/2016,"0.99706%","0.99706%","0.99706%","0.99706%"
12/22/2016,"0.99706%","0.99706%","0.99706%","0.99706%"
12/21/2016,"0.99761%","0.99761%","0.99761%","0.99761%"
12/20/2016,"0.99622%","0.99622%","0.99622%","0.99622%"
12/19/2016,"0.99428%","0.99428%","0.99428%","0.99428%"
12/16/2016,"0.99733%","0.99733%","0.99733%","0.99733%"
12/15/2016,"0.99317%","0.99317%","0.99317%","0.99317%"
12/14/2016,"0.97039%","0.97039%","0.97039%","0.97039%"
12/13/2016,"0.96344%","0.96344%","0.96344%","0.96344%"
12/12/2016,"0.95872%","0.95872%","0.95872%","0.95872%"
12/09/2016,"0.95650%","0.95650%","0.95650%","0.95650%"
12/08/2016,"0.95306%","0.95306%","0.95306%","0.95306%"
12/07/2016,"0.95083%","0.95083%","0.95083%","0.95083%"
12/06/2016,"0.95083%","0.95083%","0.95083%","0.95083%"
12/05/2016,"0.94806%","0.94806%","0.94806%","0.94806%"
12/02/2016,"0.94639%","0.94639%","0.94639%","0.94639%"
12/01/2016,"0.94167%","0.94167%","0.94167%","0.94167%"
11/30/2016,"0.93417%","0.93417%","0.93417%","0.93417%"
11/29/2016,"0.93067%","0.93067%","0.93067%","0.93067%"
11/28/2016,"0.93511%","0.93511%","0.93511%","0.93511%"
11/25/2016,"0.93733%","0.93733%","0.93733%","0.93733%"
11/24/2016,"0.93706%","0.93706%","0.93706%","0.93706%"
11/23/2016,"0.93011%","0.93011%","0.93011%","0.93011%"
11/22/2016,"0.92483%","0.92483%","0.92483%","0.92483%"
11/21/2016,"0.91983%","0.91983%","0.91983%","0.91983%"
11/18/2016,"0.91622%","0.91622%","0.91622%","0.91622%"
11/17/2016,"0.91122%","0.91122%","0.91122%","0.91122%"
11/16/2016,"0.90872%","0.90872%","0.90872%","0.90872%"
11/15/2016,"0.90622%","0.90622%","0.90622%","0.90622%"
11/14/2016,"0.91122%","0.91122%","0.91122%","0.91122%"
11/11/2016,"0.90567%","0.90567%","0.90567%","0.90567%"
11/10/2016,"0.90206%","0.90206%","0.90206%","0.90206%"
11/09/2016,"0.88650%","0.88650%","0.88650%","0.88650%"
11/08/2016,"0.88233%","0.88233%","0.88233%","0.88233%"
11/07/2016,"0.88678%","0.88678%","0.88678%","0.88678%"
11/04/2016,"0.88261%","0.88261%","0.88261%","0.88261%"
11/03/2016,"0.88094%","0.88094%","0.88094%","0.88094%"
11/02/2016,"0.87567%","0.87567%","0.87567%","0.87567%"
11/01/2016,"0.88094%","0.88094%","0.88094%","0.88094%"
10/31/2016,"0.88428%","0.88428%","0.88428%","0.88428%"
10/28/2016,"0.88594%","0.88594%","0.88594%","0.88594%"
10/27/2016,"0.88733%","0.88733%","0.88733%","0.88733%"
10/26/2016,"0.89039%","0.89039%","0.89039%","0.89039%"
10/25/2016,"0.88567%","0.88567%","0.88567%","0.88567%"
10/24/2016,"0.88372%","0.88372%","0.88372%","0.88372%"
10/23/2016,"0.88178%","0.88178%","0.88178%","0.88178%"
10/21/2016,"0.88178%","0.88178%","0.88178%","0.88178%"
10/20/2016,"0.88178%","0.88178%","0.88178%","0.88178%"
10/19/2016,"0.88067%","0.88067%","0.88067%","0.88067%"
10/18/2016,"0.88122%","0.88122%","0.88122%","0.88122%"
10/17/2016,"0.87761%","0.87761%","0.87761%","0.87761%"
10/14/2016,"0.88167%","0.88167%","0.88167%","0.88167%"
10/13/2016,"0.88000%","0.88000%","0.88000%","0.88000%"
10/12/2016,"0.88111%","0.88111%","0.88111%","0.88111%"
10/11/2016,"0.87750%","0.87750%","0.87750%","0.87750%"
10/10/2016,"0.87389%","0.87389%","0.87389%","0.87389%"
10/07/2016,"0.87606%","0.87606%","0.87606%","0.87606%"
10/06/2016,"0.87156%","0.87156%","0.87156%","0.87156%"
10/05/2016,"0.86794%","0.86794%","0.86794%","0.86794%"
10/04/2016,"0.86433%","0.86433%","0.86433%","0.86433%"
10/03/2016,"0.85789%","0.85789%","0.85789%","0.85789%"
09/30/2016,"0.85367%","0.85367%","0.85367%","0.85367%"
09/29/2016,"0.84561%","0.84561%","0.84561%","0.84561%"
09/28/2016,"0.83769%","0.83769%","0.83769%","0.83769%"
09/27/2016,"0.85378%","0.85378%","0.85378%","0.85378%"
09/26/2016,"0.85294%","0.85294%","0.85294%","0.85294%"
09/23/2016,"0.85294%","0.85294%","0.85294%","0.85294%"
09/22/2016,"0.85672%","0.85672%","0.85672%","0.85672%"
09/21/2016,"0.86333%","0.86333%","0.86333%","0.86333%"
09/20/2016,"0.86589%","0.86589%","0.86589%","0.86589%"
09/19/2016,"0.86067%","0.86067%","0.86067%","0.86067%"
09/16/2016,"0.85711%","0.85711%","0.85711%","0.85711%"
09/15/2016,"0.85656%","0.85656%","0.85656%","0.85656%"
09/14/2016,"0.85389%","0.85389%","0.85389%","0.85389%"
09/13/2016,"0.85028%","0.85028%","0.85028%","0.85028%"
09/12/2016,"0.85578%","0.85578%","0.85578%","0.85578%"
09/11/2016,"0.85222%","0.85222%","0.85222%","0.85222%"
09/09/2016,"0.85222%","0.85222%","0.85222%","0.85222%"
09/08/2016,"0.84544%","0.84544%","0.84544%","0.84544%"
09/07/2016,"0.83356%","0.83356%","0.83356%","0.83356%"
09/06/2016,"0.84067%","0.84067%","0.84067%","0.84067%"
09/05/2016,"0.83344%","0.83344%","0.83344%","0.83344%"
09/02/2016,"0.83511%","0.83511%","0.83511%","0.83511%"
09/01/2016,"0.83567%","0.83567%","0.83567%","0.83567%"
08/31/2016,"0.83933%","0.83933%","0.83933%","0.83933%"
08/30/2016,"0.84211%","0.84211%","0.84211%","0.84211%"
08/26/2016,"0.83344%","0.83344%","0.83344%","0.83344%"
08/25/2016,"0.82933%","0.82933%","0.82933%","0.82933%"
08/24/2016,"0.82544%","0.82544%","0.82544%","0.82544%"
08/23/2016,"0.82544%","0.82544%","0.82544%","0.82544%"
08/22/2016,"0.82544%","0.82544%","0.82544%","0.82544%"
08/19/2016,"0.81711%","0.81711%","0.81711%","0.81711%"
08/18/2016,"0.81100%","0.81100%","0.81100%","0.81100%"
08/17/2016,"0.81128%","0.81128%","0.81128%","0.81128%"
08/16/2016,"0.80128%","0.80128%","0.80128%","0.80128%"
08/15/2016,"0.80411%","0.80411%","0.80411%","0.80411%"
08/12/2016,"0.81825%","0.81825%","0.81825%","0.81825%"
08/11/2016,"0.81700%","0.81700%","0.81700%","0.81700%"
08/10/2016,"0.81760%","0.81760%","0.81760%","0.81760%"
08/09/2016,"0.81600%","0.81600%","0.81600%","0.81600%"
08/08/2016,"0.80650%","0.80650%","0.80650%","0.80650%"
08/05/2016,"0.79235%","0.79235%","0.79235%","0.79235%"
08/04/2016,"0.78760%","0.78760%","0.78760%","0.78760%"
08/03/2016,"0.77760%","0.77760%","0.77760%","0.77760%"
08/02/2016,"0.76760%","0.76760%","0.76760%","0.76760%"
08/01/2016,"0.75910%","0.75910%","0.75910%","0.75910%"
07/29/2016,"0.75910%","0.75910%","0.75910%","0.75910%"
07/28/2016,"0.75650%","0.75650%","0.75650%","0.75650%"
07/27/2016,"0.75150%","0.75150%","0.75150%","0.75150%"
07/26/2016,"0.74300%","0.74300%","0.74300%","0.74300%"
07/25/2016,"0.73350%","0.73350%","0.73350%","0.73350%"
07/22/2016,"0.72100%","0.72100%","0.72100%","0.72100%"
07/21/2016,"0.71450%","0.71450%","0.71450%","0.71450%"
07/20/2016,"0.70160%","0.70160%","0.70160%","0.70160%"
07/19/2016,"0.69710%","0.69710%","0.69710%","0.69710%"
07/18/2016,"0.69560%","0.69560%","0.69560%","0.69560%"
