Date,Open,High,Low,Close
12/29/2017,"1.69428%","1.69428%","1.69428%","1.69428%"
12/28/2017,"1.69465%","1.69465%","1.69465%","1.69465%"
12/27/2017,"1.69339%","1.69339%","1.69339%","1.69339%"
12/24/2017,"1.68577%","1.68577%","1.68577%","1.68577%"
12/22/2017,"1.68577%","1.68577%","1.68577%","1.68577%"
12/21/2017,"1.67464%","1.67464%","1.67464%","1.67464%"
12/20/2017,"1.65793%","1.65793%","1.65793%","1.65793%"
12/19/2017,"1.64203%","1.64203%","1.64203%","1.64203%"
12/18/2017,"1.62548%","1.62548%","1.62548%","1.62548%"
12/15/2017,"1.61331%","1.61331%","1.61331%","1.61331%"
12/14/2017,"1.60042%","1.60042%","1.60042%","1.60042%"
12/13/2017,"1.58849%","1.58849%","1.58849%","1.58849%"
12/12/2017,"1.57352%","1.57352%","1.57352%","1.57352%"
12/11/2017,"1.56347%","1.56347%","1.56347%","1.56347%"
12/08/2017,"1.54878%","1.54878%","1.54878%","1.54878%"
12/07/2017,"1.53606%","1.53606%","1.53606%","1.53606%"
12/06/2017,"1.52263%","1.52263%","1.52263%","1.52263%"
12/05/2017,"1.51532%","1.51532%","1.51532%","1.51532%"
12/04/2017,"1.50849%","1.50849%","1.50849%","1.50849%"
12/01/2017,"1.49463%","1.49463%","1.49463%","1.49463%"
11/30/2017,"1.48738%","1.48738%","1.48738%","1.48738%"
11/29/2017,"1.48063%","1.48063%","1.48063%","1.48063%"
11/28/2017,"1.47882%","1.47882%","1.47882%","1.47882%"
11/27/2017,"1.47725%","1.47725%","1.47725%","1.47725%"
11/26/2017,"1.46763%","1.46763%","1.46763%","1.46763%"
11/24/2017,"1.46763%","1.46763%","1.46763%","1.46763%"
11/23/2017,"1.46206%","1.46206%","1.46206%","1.46206%"
11/22/2017,"1.46233%","1.46233%","1.46233%","1.46233%"
11/21/2017,"1.45400%","1.45400%","1.45400%","1.45400%"
11/20/2017,"1.44594%","1.44594%","1.44594%","1.44594%"
11/17/2017,"1.44067%","1.44067%","1.44067%","1.44067%"
11/16/2017,"1.43567%","1.43567%","1.43567%","1.43567%"
11/15/2017,"1.42190%","1.42190%","1.42190%","1.42190%"
11/14/2017,"1.41899%","1.41899%","1.41899%","1.41899%"
11/13/2017,"1.41586%","1.41586%","1.41586%","1.41586%"
11/10/2017,"1.41289%","1.41289%","1.41289%","1.41289%"
11/09/2017,"1.41289%","1.41289%","1.41289%","1.41289%"
11/08/2017,"1.40981%","1.40981%","1.40981%","1.40981%"
11/07/2017,"1.40258%","1.40258%","1.40258%","1.40258%"
11/06/2017,"1.39703%","1.39703%","1.39703%","1.39703%"
11/03/2017,"1.39194%","1.39194%","1.39194%","1.39194%"
11/02/2017,"1.39139%","1.39139%","1.39139%","1.39139%"
11/01/2017,"1.38483%","1.38483%","1.38483%","1.38483%"
10/31/2017,"1.38122%","1.38122%","1.38122%","1.38122%"
10/30/2017,"1.37678%","1.37678%","1.37678%","1.37678%"
10/29/2017,"1.38009%","1.38009%","1.38009%","1.38009%"
10/27/2017,"1.38009%","1.38009%","1.38009%","1.38009%"
10/26/2017,"1.37796%","1.37796%","1.37796%","1.37796%"
10/25/2017,"1.37446%","1.37446%","1.37446%","1.37446%"
10/24/2017,"1.37064%","1.37064%","1.37064%","1.37064%"
10/23/2017,"1.36742%","1.36742%","1.36742%","1.36742%"
10/20/2017,"1.36476%","1.36476%","1.36476%","1.36476%"
10/19/2017,"1.36250%","1.36250%","1.36250%","1.36250%"
10/18/2017,"1.36261%","1.36261%","1.36261%","1.36261%"
10/17/2017,"1.35733%","1.35733%","1.35733%","1.35733%"
10/16/2017,"1.35389%","1.35389%","1.35389%","1.35389%"
10/15/2017,"1.35333%","1.35333%","1.35333%","1.35333%"
10/13/2017,"1.35333%","1.35333%","1.35333%","1.35333%"
10/12/2017,"1.35917%","1.35917%","1.35917%","1.35917%"
10/11/2017,"1.35861%","1.35861%","1.35861%","1.35861%"
10/10/2017,"1.35667%","1.35667%","1.35667%","1.35667%"
10/09/2017,"1.35639%","1.35639%","1.35639%","1.35639%"
10/06/2017,"1.35028%","1.35028%","1.35028%","1.35028%"
10/05/2017,"1.34861%","1.34861%","1.34861%","1.34861%"
10/04/2017,"1.34667%","1.34667%","1.34667%","1.34667%"
10/03/2017,"1.34250%","1.34250%","1.34250%","1.34250%"
10/02/2017,"1.33556%","1.33556%","1.33556%","1.33556%"
09/29/2017,"1.33389%","1.33389%","1.33389%","1.33389%"
09/28/2017,"1.33500%","1.33500%","1.33500%","1.33500%"
09/27/2017,"1.33278%","1.33278%","1.33278%","1.33278%"
09/26/2017,"1.33083%","1.33083%","1.33083%","1.33083%"
09/25/2017,"1.32972%","1.32972%","1.32972%","1.32972%"
09/22/2017,"1.32944%","1.32944%","1.32944%","1.32944%"
09/21/2017,"1.32833%","1.32833%","1.32833%","1.32833%"
09/20/2017,"1.32306%","1.32306%","1.32306%","1.32306%"
09/19/2017,"1.32611%","1.32611%","1.32611%","1.32611%"
09/18/2017,"1.32500%","1.32500%","1.32500%","1.32500%"
09/17/2017,"1.32389%","1.32389%","1.32389%","1.32389%"
09/15/2017,"1.32389%","1.32389%","1.32389%","1.32389%"
09/14/2017,"1.32111%","1.32111%","1.32111%","1.32111%"
09/13/2017,"1.32000%","1.32000%","1.32000%","1.32000%"
09/12/2017,"1.31917%","1.31917%","1.31917%","1.31917%"
09/11/2017,"1.31667%","1.31667%","1.31667%","1.31667%"
09/08/2017,"1.31033%","1.31033%","1.31033%","1.31033%"
09/07/2017,"1.31722%","1.31722%","1.31722%","1.31722%"
09/06/2017,"1.31722%","1.31722%","1.31722%","1.31722%"
09/05/2017,"1.31722%","1.31722%","1.31722%","1.31722%"
09/04/2017,"1.31611%","1.31611%","1.31611%","1.31611%"
09/01/2017,"1.31611%","1.31611%","1.31611%","1.31611%"
08/31/2017,"1.31778%","1.31778%","1.31778%","1.31778%"
08/30/2017,"1.31611%","1.31611%","1.31611%","1.31611%"
08/29/2017,"1.31694%","1.31694%","1.31694%","1.31694%"
08/27/2017,"1.31778%","1.31778%","1.31778%","1.31778%"
08/25/2017,"1.31778%","1.31778%","1.31778%","1.31778%"
08/24/2017,"1.31722%","1.31722%","1.31722%","1.31722%"
08/23/2017,"1.31722%","1.31722%","1.31722%","1.31722%"
08/22/2017,"1.31722%","1.31722%","1.31722%","1.31722%"
08/21/2017,"1.31444%","1.31444%","1.31444%","1.31444%"
08/20/2017,"1.31472%","1.31472%","1.31472%","1.31472%"
08/18/2017,"1.31472%","1.31472%","1.31472%","1.31472%"
08/17/2017,"1.31639%","1.31639%","1.31639%","1.31639%"
08/16/2017,"1.31667%","1.31667%","1.31667%","1.31667%"
08/15/2017,"1.31417%","1.31417%","1.31417%","1.31417%"
08/14/2017,"1.31417%","1.31417%","1.31417%","1.31417%"
08/13/2017,"1.31500%","1.31500%","1.31500%","1.31500%"
08/11/2017,"1.31500%","1.31500%","1.31500%","1.31500%"
08/10/2017,"1.30911%","1.30911%","1.30911%","1.30911%"
08/09/2017,"1.30917%","1.30917%","1.30917%","1.30917%"
08/08/2017,"1.30944%","1.30944%","1.30944%","1.30944%"
08/07/2017,"1.31139%","1.31139%","1.31139%","1.31139%"
08/04/2017,"1.31194%","1.31194%","1.31194%","1.31194%"
08/03/2017,"1.31167%","1.31167%","1.31167%","1.31167%"
08/02/2017,"1.31278%","1.31278%","1.31278%","1.31278%"
08/01/2017,"1.31056%","1.31056%","1.31056%","1.31056%"
07/31/2017,"1.31056%","1.31056%","1.31056%","1.31056%"
07/30/2017,"1.31056%","1.31056%","1.31056%","1.31056%"
07/28/2017,"1.31056%","1.31056%","1.31056%","1.31056%"
07/27/2017,"1.31111%","1.31111%","1.31111%","1.31111%"
07/26/2017,"1.31389%","1.31389%","1.31389%","1.31389%"
