Date,Open,High,Low,Close
12/30/2011,0.58%,0.58%,0.58%,0.58%
12/29/2011,0.58%,0.58%,0.58%,0.58%
12/28/2011,0.58%,0.58%,0.58%,0.58%
12/23/2011,0.58%,0.58%,0.58%,0.58%
12/22/2011,0.57%,0.57%,0.57%,0.57%
12/21/2011,0.57%,0.57%,0.57%,0.57%
12/20/2011,0.57%,0.57%,0.57%,0.57%
12/19/2011,0.57%,0.57%,0.57%,0.57%
12/16/2011,0.56%,0.56%,0.56%,0.56%
12/15/2011,0.56%,0.56%,0.56%,0.56%
12/14/2011,0.56%,0.56%,0.56%,0.56%
12/13/2011,0.55%,0.55%,0.55%,0.55%
12-12-2011,0.54%,0.54%,0.54%,0.54%
12-09-2011,0.54%,0.54%,0.54%,0.54%
12-08-2011,0.54%,0.54%,0.54%,0.54%
12-07-2011,0.54%,0.54%,0.54%,0.54%
12-06-2011,0.54%,0.54%,0.54%,0.54%
12-05-2011,0.53%,0.53%,0.53%,0.53%
12-02-2011,0.53%,0.53%,0.53%,0.53%
12-01-2011,0.53%,0.53%,0.53%,0.53%
11/30/2011,0.53%,0.53%,0.53%,0.53%
11/29/2011,0.53%,0.53%,0.53%,0.53%
11/28/2011,0.52%,0.52%,0.52%,0.52%
11/25/2011,0.52%,0.52%,0.52%,0.52%
11/24/2011,0.51%,0.51%,0.51%,0.51%
11/23/2011,0.51%,0.51%,0.51%,0.51%
11/22/2011,0.50%,0.50%,0.50%,0.50%
11/21/2011,0.50%,0.50%,0.50%,0.50%
11/18/2011,0.49%,0.49%,0.49%,0.49%
11/17/2011,0.48%,0.48%,0.48%,0.48%
11/16/2011,0.47%,0.47%,0.47%,0.47%
11/15/2011,0.47%,0.47%,0.47%,0.47%
11/14/2011,0.46%,0.46%,0.46%,0.46%
11-11-2011,0.46%,0.46%,0.46%,0.46%
11-10-2011,0.45%,0.45%,0.45%,0.45%
11-09-2011,0.45%,0.45%,0.45%,0.45%
11-08-2011,0.44%,0.44%,0.44%,0.44%
11-07-2011,0.44%,0.44%,0.44%,0.44%
11-04-2011,0.44%,0.44%,0.44%,0.44%
11-03-2011,0.44%,0.44%,0.44%,0.44%
11-02-2011,0.43%,0.43%,0.43%,0.43%
11-01-2011,0.43%,0.43%,0.43%,0.43%
10/31/2011,0.43%,0.43%,0.43%,0.43%
10/28/2011,0.43%,0.43%,0.43%,0.43%
10/27/2011,0.43%,0.43%,0.43%,0.43%
10/26/2011,0.42%,0.42%,0.42%,0.42%
10/25/2011,0.42%,0.42%,0.42%,0.42%
10/24/2011,0.42%,0.42%,0.42%,0.42%
10/21/2011,0.42%,0.42%,0.42%,0.42%
10/20/2011,0.42%,0.42%,0.42%,0.42%
10/19/2011,0.41%,0.41%,0.41%,0.41%
10/18/2011,0.41%,0.41%,0.41%,0.41%
10/17/2011,0.41%,0.41%,0.41%,0.41%
10/14/2011,0.40%,0.40%,0.40%,0.40%
10/13/2011,0.40%,0.40%,0.40%,0.40%
10-12-2011,0.40%,0.40%,0.40%,0.40%
10-11-2011,0.40%,0.40%,0.40%,0.40%
10-10-2011,0.39%,0.39%,0.39%,0.39%
10-07-2011,0.39%,0.39%,0.39%,0.39%
10-06-2011,0.39%,0.39%,0.39%,0.39%
10-05-2011,0.38%,0.38%,0.38%,0.38%
10-04-2011,0.38%,0.38%,0.38%,0.38%
10-03-2011,0.38%,0.38%,0.38%,0.38%
09/30/2011,0.37%,0.37%,0.37%,0.37%
09/29/2011,0.37%,0.37%,0.37%,0.37%
09/28/2011,0.37%,0.37%,0.37%,0.37%
09/27/2011,0.37%,0.37%,0.37%,0.37%
09/26/2011,0.36%,0.36%,0.36%,0.36%
09/23/2011,0.36%,0.36%,0.36%,0.36%
09/22/2011,0.36%,0.36%,0.36%,0.36%
09/21/2011,0.36%,0.36%,0.36%,0.36%
09/20/2011,0.36%,0.36%,0.36%,0.36%
09/19/2011,0.35%,0.35%,0.35%,0.35%
