Date,Open,High,Low,Close
12/31/2013,"0.24610%","0.24610%","0.24610%","0.24610%"
12/30/2013,"0.24660%","0.24660%","0.24660%","0.24660%"
12/27/2013,"0.24660%","0.24660%","0.24660%","0.24660%"
12/26/2013,"0.24685%","0.24685%","0.24685%","0.24685%"
12/24/2013,"0.24685%","0.24685%","0.24685%","0.24685%"
12/23/2013,"0.24585%","0.24585%","0.24585%","0.24585%"
12/20/2013,"0.24835%","0.24835%","0.24835%","0.24835%"
12/19/2013,"0.24585%","0.24585%","0.24585%","0.24585%"
12/18/2013,"0.24510%","0.24510%","0.24510%","0.24510%"
12/17/2013,"0.24435%","0.24435%","0.24435%","0.24435%"
12/16/2013,"0.24285%","0.24285%","0.24285%","0.24285%"
12/13/2013,"0.24385%","0.24385%","0.24385%","0.24385%"
12/12/2013,"0.24285%","0.24285%","0.24285%","0.24285%"
12/11/2013,"0.24385%","0.24385%","0.24385%","0.24385%"
12/10/2013,"0.24185%","0.24185%","0.24185%","0.24185%"
12/09/2013,"0.24260%","0.24260%","0.24260%","0.24260%"
12/06/2013,"0.24085%","0.24085%","0.24085%","0.24085%"
12/05/2013,"0.24160%","0.24160%","0.24160%","0.24160%"
12/04/2013,"0.24185%","0.24185%","0.24185%","0.24185%"
12/03/2013,"0.24130%","0.24130%","0.24130%","0.24130%"
12/02/2013,"0.23885%","0.23885%","0.23885%","0.23885%"
11/29/2013,"0.23910%","0.23910%","0.23910%","0.23910%"
11/28/2013,"0.23910%","0.23910%","0.23910%","0.23910%"
11/27/2013,"0.23760%","0.23760%","0.23760%","0.23760%"
11/26/2013,"0.23660%","0.23660%","0.23660%","0.23660%"
11/25/2013,"0.23585%","0.23585%","0.23585%","0.23585%"
11/22/2013,"0.23660%","0.23660%","0.23660%","0.23660%"
11/21/2013,"0.23760%","0.23760%","0.23760%","0.23760%"
11/20/2013,"0.23810%","0.23810%","0.23810%","0.23810%"
11/19/2013,"0.23910%","0.23910%","0.23910%","0.23910%"
11/18/2013,"0.23735%","0.23735%","0.23735%","0.23735%"
11/15/2013,"0.23810%","0.23810%","0.23810%","0.23810%"
11/14/2013,"0.23845%","0.23845%","0.23845%","0.23845%"
11/13/2013,"0.24060%","0.24060%","0.24060%","0.24060%"
11/12/2013,"0.23925%","0.23925%","0.23925%","0.23925%"
11/11/2013,"0.23925%","0.23925%","0.23925%","0.23925%"
11/08/2013,"0.23940%","0.23940%","0.23940%","0.23940%"
11/07/2013,"0.23890%","0.23890%","0.23890%","0.23890%"
11/06/2013,"0.23865%","0.23865%","0.23865%","0.23865%"
11/05/2013,"0.23770%","0.23770%","0.23770%","0.23770%"
11/04/2013,"0.23810%","0.23810%","0.23810%","0.23810%"
11/01/2013,"0.23775%","0.23775%","0.23775%","0.23775%"
10/31/2013,"0.24200%","0.24200%","0.24200%","0.24200%"
10/30/2013,"0.24190%","0.24190%","0.24190%","0.24190%"
10/29/2013,"0.23745%","0.23745%","0.23745%","0.23745%"
10/28/2013,"0.23585%","0.23585%","0.23585%","0.23585%"
10/25/2013,"0.23685%","0.23685%","0.23685%","0.23685%"
10/24/2013,"0.23810%","0.23810%","0.23810%","0.23810%"
10/23/2013,"0.23835%","0.23835%","0.23835%","0.23835%"
10/22/2013,"0.23835%","0.23835%","0.23835%","0.23835%"
10/21/2013,"0.23860%","0.23860%","0.23860%","0.23860%"
10/18/2013,"0.24055%","0.24055%","0.24055%","0.24055%"
10/17/2013,"0.24205%","0.24205%","0.24205%","0.24205%"
10/16/2013,"0.24605%","0.24605%","0.24605%","0.24605%"
10/15/2013,"0.24355%","0.24355%","0.24355%","0.24355%"
10/14/2013,"0.24580%","0.24580%","0.24580%","0.24580%"
10/11/2013,"0.24360%","0.24360%","0.24360%","0.24360%"
10/10/2013,"0.24310%","0.24310%","0.24310%","0.24310%"
10/09/2013,"0.24560%","0.24560%","0.24560%","0.24560%"
10/08/2013,"0.24360%","0.24360%","0.24360%","0.24360%"
10/07/2013,"0.24335%","0.24335%","0.24335%","0.24335%"
10/04/2013,"0.24285%","0.24285%","0.24285%","0.24285%"
10/03/2013,"0.24285%","0.24285%","0.24285%","0.24285%"
10/02/2013,"0.24435%","0.24435%","0.24435%","0.24435%"
10/01/2013,"0.24585%","0.24585%","0.24585%","0.24585%"
09/30/2013,"0.24885%","0.24885%","0.24885%","0.24885%"
09/27/2013,"0.24835%","0.24835%","0.24835%","0.24835%"
09/26/2013,"0.24810%","0.24810%","0.24810%","0.24810%"
09/25/2013,"0.24760%","0.24760%","0.24760%","0.24760%"
09/24/2013,"0.25020%","0.25020%","0.25020%","0.25020%"
09/23/2013,"0.25060%","0.25060%","0.25060%","0.25060%"
09/20/2013,"0.24960%","0.24960%","0.24960%","0.24960%"
09/19/2013,"0.25020%","0.25020%","0.25020%","0.25020%"
09/18/2013,"0.25245%","0.25245%","0.25245%","0.25245%"
09/17/2013,"0.25195%","0.25195%","0.25195%","0.25195%"
09/16/2013,"0.25185%","0.25185%","0.25185%","0.25185%"
09/13/2013,"0.25390%","0.25390%","0.25390%","0.25390%"
09/12/2013,"0.25440%","0.25440%","0.25440%","0.25440%"
09/11/2013,"0.25440%","0.25440%","0.25440%","0.25440%"
09/10/2013,"0.25590%","0.25590%","0.25590%","0.25590%"
09/09/2013,"0.25590%","0.25590%","0.25590%","0.25590%"
09/06/2013,"0.25640%","0.25640%","0.25640%","0.25640%"
09/05/2013,"0.25810%","0.25810%","0.25810%","0.25810%"
09/04/2013,"0.25900%","0.25900%","0.25900%","0.25900%"
09/03/2013,"0.25950%","0.25950%","0.25950%","0.25950%"
09/02/2013,"0.25950%","0.25950%","0.25950%","0.25950%"
