Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,8951.900391,9235.200195,8918.099609,9234.099609,9234.099609,15068630000
2009-01-05,9233.000000,9372.900391,9116.000000,9285.500000,9285.500000,24253910000
2009-01-06,9409.799805,9505.700195,9285.500000,9472.099609,9472.099609,26395330000
2009-01-07,9362.900391,9472.099609,9100.200195,9121.299805,9121.299805,22208470000
2009-01-08,9075.500000,9224.099609,9016.700195,9221.599609,9221.599609,20407730000
2009-01-09,9237.799805,9267.500000,9053.200195,9085.200195,9085.200195,19951920000
2009-01-12,8952.500000,9085.200195,8751.599609,8793.299805,8793.299805,21080190000
2009-01-13,8826.400391,8986.200195,8793.299805,8961.599609,8961.599609,20353190000
2009-01-14,8863.799805,8961.599609,8608.599609,8688.400391,8688.400391,28519490000
2009-01-15,8730.799805,8879.599609,8471.000000,8879.599609,8879.599609,33360030000
2009-01-16,9082.099609,9082.099609,8734.400391,8920.400391,8920.400391,21011080000
2009-01-19,8864.299805,8920.400391,8807.700195,8841.500000,8841.500000,9588060000
2009-01-20,8867.900391,8869.299805,8486.299805,8504.900391,8504.900391,27103210000
2009-01-21,8574.500000,8763.500000,8392.099609,8757.900391,8757.900391,24597110000
2009-01-22,8619.200195,8757.900391,8472.500000,8486.599609,8486.599609,21089490000
2009-01-23,8428.500000,8687.799805,8387.599609,8628.000000,8628.000000,27241020000
2009-01-26,8700.099609,8821.900391,8539.400391,8656.500000,8656.500000,19654470000
2009-01-27,8692.099609,8762.700195,8621.400391,8759.599609,8759.599609,18325140000
2009-01-28,8900.500000,8966.700195,8759.599609,8906.200195,8906.200195,27116210000
2009-01-29,8815.500000,8906.200195,8740.799805,8762.799805,8762.799805,23191490000
2009-01-30,8901.500000,8901.500000,8579.900391,8694.900391,8694.900391,26480130000
2009-02-02,8603.000000,8694.900391,8533.599609,8624.799805,8624.799805,18657330000
2009-02-03,8643.900391,8663.000000,8540.500000,8628.599609,8628.599609,20660680000
2009-02-04,8700.000000,8814.000000,8628.599609,8693.099609,8693.099609,28262300000
2009-02-05,8708.099609,8861.000000,8607.500000,8861.000000,8861.000000,24366150000
2009-02-06,8827.099609,9102.000000,8824.700195,9008.000000,9008.000000,24533000000
2009-02-09,9055.799805,9151.599609,8997.400391,9047.299805,9047.299805,19410300000
2009-02-10,9084.299805,9114.500000,8771.799805,8817.900391,8817.900391,23252670000
2009-02-11,8840.299805,8919.200195,8731.200195,8737.900391,8737.900391,28201590000
2009-02-12,8698.299805,8785.099609,8590.500000,8778.799805,8778.799805,24273250000
2009-02-13,8797.000000,8797.000000,8669.200195,8678.099609,8678.099609,17755520000
2009-02-17,8630.299805,8678.099609,8351.900391,8378.700195,8378.700195,23061920000
2009-02-18,8419.500000,8419.500000,8139.000000,8176.000000,8176.000000,27396450000
2009-02-19,8234.099609,8296.299805,8117.399902,8185.399902,8185.399902,26395760000
2009-02-20,8103.200195,8185.399902,7874.899902,7950.000000,7950.000000,26180270000
2009-02-23,8014.399902,8032.100098,7640.799805,7647.700195,7647.700195,25760590000
2009-02-24,7674.100098,7859.299805,7566.299805,7859.299805,7859.299805,34988330000
2009-02-25,7886.000000,8033.100098,7753.899902,7932.299805,7932.299805,25504110000
2009-02-26,8052.200195,8195.900391,7932.299805,8186.799805,8186.799805,30688560000
2009-02-27,8061.500000,8188.700195,8005.100098,8123.000000,8123.000000,26842610000
2009-03-02,7997.600098,8123.000000,7589.700195,7687.500000,7687.500000,25917240000
2009-03-03,7752.899902,7797.700195,7501.100098,7631.600098,7631.600098,25956440000
2009-03-04,7857.500000,7866.000000,7631.600098,7814.799805,7814.799805,29250320000
2009-03-05,7734.299805,7814.799805,7589.799805,7629.200195,7629.200195,26363060000
2009-03-06,7686.799805,7764.799805,7480.000000,7591.500000,7591.500000,24150330000
2009-03-09,7527.399902,7695.299805,7515.000000,7566.899902,7566.899902,19692690000
2009-03-10,7699.899902,7886.799805,7566.899902,7880.399902,7880.399902,32356910000
2009-03-11,7922.399902,8056.799805,7858.399902,8011.000000,8011.000000,28472900000
2009-03-12,8027.299805,8332.500000,7975.000000,8282.299805,8282.299805,27330100000
2009-03-13,8359.400391,8359.400391,8183.799805,8303.400391,8303.400391,21864410000
2009-03-16,8289.900391,8550.799805,8278.900391,8386.700195,8386.700195,23487460000
2009-03-17,8434.200195,8559.599609,8304.599609,8559.599609,8559.599609,23422640000
2009-03-18,8461.000000,8669.799805,8287.700195,8629.099609,8629.099609,27461060000
2009-03-19,8797.400391,8845.799805,8629.099609,8690.500000,8690.500000,31097040000
2009-03-20,8708.099609,8737.799805,8506.400391,8506.400391,8506.400391,33824440000
2009-03-23,8765.500000,8958.500000,8506.400391,8958.500000,8958.500000,28721840000
2009-03-24,8825.700195,8958.500000,8766.700195,8849.400391,8849.400391,26801410000
2009-03-25,8890.700195,8981.799805,8692.599609,8797.400391,8797.400391,29805080000
2009-03-26,8939.799805,9018.500000,8797.400391,8995.500000,8995.500000,27914110000
2009-03-27,8894.799805,8995.500000,8807.200195,8821.099609,8821.099609,24094290000
2009-03-30,8605.400391,8821.099609,8453.099609,8596.200195,8596.200195,23675600000
2009-03-31,8673.400391,8780.599609,8596.200195,8720.400391,8720.400391,22284650000
2009-04-01,8647.599609,8941.799805,8617.299805,8941.799805,8941.799805,22801380000
2009-04-02,9093.500000,9139.500000,8941.799805,9073.099609,9073.099609,30682900000
2009-04-03,9107.099609,9140.099609,8987.700195,9065.799805,9065.799805,24888630000
2009-04-06,8963.799805,9065.799805,8919.000000,9016.200195,9016.200195,23034200000
2009-04-07,8940.299805,9016.200195,8820.200195,8824.799805,8824.799805,20640490000
2009-04-08,8819.599609,8969.299805,8782.700195,8969.299805,8969.299805,18700280000
2009-04-09,9110.000000,9187.099609,8969.299805,9187.099609,9187.099609,23496560000
2009-04-13,9142.200195,9310.900391,9114.900391,9285.599609,9285.599609,19085450000
2009-04-14,9292.599609,9330.599609,9185.900391,9231.599609,9231.599609,26651160000
2009-04-15,9196.799805,9251.400391,9118.900391,9246.099609,9246.099609,20110670000
2009-04-16,9293.200195,9356.500000,9184.700195,9343.400391,9343.400391,24488240000
2009-04-17,9365.299805,9483.599609,9343.400391,9437.700195,9437.700195,23774880000
2009-04-20,9324.400391,9437.700195,9125.299805,9126.200195,9126.200195,23868080000
2009-04-21,9034.799805,9254.200195,9014.099609,9247.200195,9247.200195,24719110000
2009-04-22,9223.599609,9411.599609,9189.599609,9279.200195,9279.200195,21191770000
2009-04-23,9341.500000,9413.000000,9279.200195,9409.500000,9409.500000,25046640000
2009-04-24,9483.400391,9566.700195,9409.500000,9549.500000,9549.500000,24577200000
2009-04-27,9345.900391,9549.500000,9345.900391,9394.799805,9394.799805,19636080000
2009-04-28,9268.900391,9394.799805,9268.900391,9348.000000,9348.000000,21994120000
2009-04-29,9429.500000,9476.599609,9348.000000,9416.299805,9416.299805,20590540000
2009-04-30,9454.200195,9568.299805,9321.400391,9324.799805,9324.799805,25740750000
2009-05-01,9369.200195,9527.700195,9324.799805,9497.000000,9497.000000,19520820000
2009-05-04,9604.599609,9870.400391,9497.000000,9870.400391,9870.400391,24464560000
2009-05-05,9869.299805,9918.900391,9783.700195,9880.700195,9880.700195,23163270000
2009-05-06,9992.200195,10158.200195,9880.700195,10143.400391,10143.400391,29507490000
2009-05-07,10332.099609,10340.799805,9922.000000,9967.099609,9967.099609,30115080000
2009-05-08,10118.299805,10256.000000,9967.099609,10238.000000,10238.000000,24223730000
2009-05-11,10069.500000,10238.000000,9995.799805,10094.099609,10094.099609,29492550000
2009-05-12,10184.000000,10193.099609,9970.299805,10077.700195,10077.700195,24831730000
2009-05-13,9958.599609,10077.700195,9695.599609,9709.500000,9709.500000,25871720000
2009-05-14,9700.200195,9938.000000,9683.099609,9849.200195,9849.200195,22831270000
2009-05-15,9877.000000,9947.099609,9750.900391,9762.900391,9762.900391,16483630000
2009-05-19,10037.700195,10139.599609,9762.900391,10101.000000,10101.000000,21988650000
2009-05-20,10191.200195,10365.400391,10101.000000,10232.400391,10232.400391,25914380000
2009-05-21,10090.599609,10232.400391,9935.200195,9949.599609,9949.599609,20725880000
2009-05-22,10014.900391,10065.799805,9941.900391,9993.400391,9993.400391,21720480000
2009-05-25,10004.799805,10073.200195,9993.400391,10069.500000,10069.500000,6719150000
2009-05-26,9989.599609,10286.900391,9971.599609,10285.900391,10285.900391,21572100000
2009-05-27,10313.599609,10335.200195,10142.200195,10142.200195,10142.200195,24273290000
2009-05-28,10270.599609,10413.900391,10142.200195,10392.400391,10392.400391,26820990000
2009-05-29,10473.400391,10493.099609,10320.000000,10370.099609,10370.099609,30361750000
2009-06-01,10530.799805,10637.700195,10370.099609,10604.099609,10604.099609,26326080000
2009-06-02,10566.200195,10634.400391,10515.099609,10588.799805,10588.799805,24068060000
2009-06-03,10484.900391,10588.799805,10235.400391,10290.099609,10290.099609,25664000000
2009-06-04,10410.200195,10500.099609,10290.099609,10477.200195,10477.200195,20400850000
2009-06-05,10544.400391,10581.599609,10413.500000,10569.299805,10569.299805,22464640000
2009-06-08,10466.700195,10569.299805,10380.799805,10549.099609,10549.099609,18630920000
2009-06-09,10597.500000,10605.000000,10502.900391,10547.900391,10547.900391,22529270000
2009-06-10,10673.500000,10674.099609,10523.200195,10598.000000,10598.000000,25090300000
2009-06-11,10568.299805,10726.000000,10554.400391,10714.099609,10714.099609,22818680000
2009-06-12,10648.500000,10714.099609,10613.000000,10645.000000,10645.000000,17901890000
2009-06-15,10581.799805,10645.000000,10341.799805,10394.799805,10394.799805,18947090000
2009-06-16,10554.200195,10561.099609,10292.599609,10307.400391,10307.400391,21820010000
2009-06-17,10278.900391,10307.400391,10056.299805,10066.099609,10066.099609,22791550000
2009-06-18,10066.200195,10142.599609,10005.400391,10121.500000,10121.500000,21981980000
2009-06-19,10204.500000,10288.000000,10121.500000,10288.000000,10288.000000,32133640000
2009-06-22,10105.700195,10288.000000,9830.200195,9834.200195,9834.200195,22423070000
2009-06-23,9865.400391,9912.200195,9727.299805,9896.700195,9896.700195,22476520000
